,Superficie,Densidad,Población,De 0 a 15 años,De 16 a 64 años,De 65 años y más,Española,Extranjera,Nacimientos,Defunciones,Precio m2
Centro,523 ,270 ,141.236,10.608,108.667,21.961,104.726,36.509,863,1.252,4.865
Arganzuela,646 ,239 ,154.243,18.571,105.078,30.594,137.604,16.637,1.142,1.764,3.888
Retiro,547 ,217 ,118.557,14.443,73.037,31.077,108.277,10.279,801,1.627,4.502
Salamanca,539 ,271 ,146.016,16.147,95.122,34.747,124.068,21.948,1.150,1.937,5.740
Chamartín,918 ,161 ,145.700,19.913,91.663,34.124,130.641,15.059,1.305,1.899,4.999
Tetuán,537 ,297 ,159.849,18.293,111.262,30.294,127.202,32.647,1.353,1.984,3.649
Chamberí,468 ,296 ,138.667,14.767,90.307,33.593,121.264,17.403,1.076,1.785,5.283
Moncloa-Aravaca,4653 ,26 ,120.834,17.036,77.360,26.438,106.834,14.000,936,1.485,3.912
Carabanchel,1405 ,184 ,258.633,36.742,173.880,48.011,202.322,56.311,1.906,3.057,2.165
Usera,778 ,183 ,142.454,21.188,97.802,23.464,107.442,35.010,1.124,1.554,1.942
Puente de Vallecas,1497 ,160 ,239.057,32.422,164.930,41.705,190.004,49.051,1.960,2.779,1.887
Moratalaz,610 ,154 ,93.810,10.702,58.667,24.441,83.780,10.030,586,1.391,2.569
Ciudad Lineal,1143 ,190 ,216.818,26.603,140.979,49.236,182.762,34.054,1.491,2.744,2.912