Superficie,Superficie,Densidad,Población,0 a 15 años,16 a 64 años,65 años y más,% 0 a 15 años,% 16 a 64 años,% 65 años y más,Española,Extranjera,% Española,% Extranjera,Nacimientos,Defunciones,Crecimiento Natural,Precio m2 2021
Centro,523,270,141.236,10.608,108.667,21.961,8%,77%,16%,104.726,36.509,74%,26%,863,1.252,-389,4.865
Arganzuela,646,239,154.243,18.571,105.078,30.594,12%,68%,20%,137.604,16.637,89%,11%,1.142,1.764,-622,3.888
Retiro,547,217,118.557,14.443,73.037,31.077,12%,62%,26%,108.277,10.279,91%,9%,801,1.627,-826,4.502
Salamanca,539,271,146.016,16.147,95.122,34.747,11%,65%,24%,124.068,21.948,85%,15%,1.150,1.937,-787,5.740
Chamartín,918,161,145.700,19.913,91.663,34.124,14%,63%,23%,130.641,15.059,90%,10%,1.305,1.899,-594,4.999
Tetuán,537,297,159.849,18.293,111.262,30.294,11%,70%,19%,127.202,32.647,80%,20%,1.353,1.984,-631,3.649
Chamberí,468,296,138.667,14.767,90.307,33.593,11%,65%,24%,121.264,17.403,87%,13%,1.076,1.785,-709,5.283
Moncloa-Aravaca,4.653,26,120.834,17.036,77.360,26.438,14%,64%,22%,106.834,14.000,88%,12%,936,1.485,-549,3.912
Carabanchel,1.405,184,258.633,36.742,173.880,48.011,14%,67%,19%,202.322,56.311,78%,22%,1.906,3.057,-1.151,2.165
Usera,778,183,142.454,21.188,97.802,23.464,15%,69%,16%,107.442,35.010,75%,25%,1.124,1.554,-430,1.942
Puente de Vallecas,1.497,160,239.057,32.422,164.930,41.705,14%,69%,17%,190.004,49.051,79%,21%,1.960,2.779,-819,1.887
Moratalaz,610,154,93.810,10.702,58.667,24.441,11%,63%,26%,83.780,10.030,89%,11%,586,1.391,-805,2.569
Ciudad Lineal,1.143,190,216.818,26.603,140.979,49.236,12%,65%,23%,182.762,34.054,84%,16%,1.491,2.744,-1.253,2.912