,Restaurante,Valoración,Nota,Delivery_Fee,ETA,Tag,Precio,Dirección,Barrio
0,Badsha India Restaurant,200,4.4,1.00,15–35,India,€,"Calle De Embajadores,  28045",Centro
1,TUTTO PASTA!,26,2.8,2.50,40–60,Family Meals,€,"Calle De Núñez De Arce, 11, 28012",Centro
2,Pizza Central,31,3.8,2.99,35–55,Pizza,€,"Plaza Del Emperador Carlos V, 10, 28012",Centro
3,Scarlett Real Food,28,3.1,1.90,40–50,Postres,€,"C/ Preciados 36,  28013",Centro
4,La Tagliatella,15,3.9,0.90,25–35,Pizza,€,"Calle De Toledo 27,  28012",Centro
5,Fritz Foods,41,4.5,0.40,30–40,Pizza,€,"Calle De Luchana 17,  28010",Centro
6,Pizzart Luchana,28,3.1,1.90,50–60,Pizza,€,"Paseo De La Virgen Del Puerto, 45, 28005",Centro
7,Kahuna,25,4.6,1.40,45–55,Burritos,€,"Calle De La Aduana 25,  28013",Centro
8,Wacamole,50,3.9,0.90,40–50,De Latinoamérica,€,"Calle De Arriaza, 6, 28008",Centro
9,El Imperio de la Empanada,28,3.1,0.90,45–55,Empanada,€,"Calle De San Andrés, 26, 28004 ",Centro
10,Roost Chicken,28,3.1,1.40,45–55,Pollo,€,"Calle Mayor, 38, 28013",Centro
11,Popeyes,200,4.3,0.40,30–40,Pollo,€,"Paseo Del Doctor Vallejo Nágera, 25 ,  28005",Centro
12,Papa John's,200,4.3,1.90,30–40,Pizza,€,"Calle De Cáceres 1, 28045",Centro
13,Comida china yonghe,50,4.3,2.40,40–50,China,€,"Calle Preciados, 29 , 28013",Centro
14,Taco Bell,145,4.3,0.90,30–40,Hamburguesas,€,"P.º De La Florida, 2,  28008 ",Centro
15,KFC - Principe Pio,28,3.1,1.40,50–60,Pollo,€,"Travesía De La Parada 6, 28015",Centro
16,EL LATÓN GRIS,66,3.7,0.90,45–55,Pollo,€€,"Calle De Mira El Sol, 1, 28005 ",Centro
17,TAMCOC,28,3.1,1.40,40–50,Italiana,€€€,"Calle De La Alianza 33,  28041",Centro
18,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Dos Hermanas, 22, 28012 ",Centro
19,La Alegría de la Huerta,28,3.1,0.90,25–35,Vegetariano,€,"Calle De Núñez De Arce 11, 28012",Centro
20,Empanadas BAIRES,28,3.1,2.99,35–55,Empanada,€,"Atocha, 64, 28012",Centro
21,Domino's,89,4.4,1.00,15–25 ,Pizza,€€,"Calle De Los Donados 2,  28013",Centro
22,Cor & Cor,28,3.1,0.40,30–40,Postres,€,"Calle De Carranza 3,  28004",Centro
23,Tiendas 7x24,70,4.6,1.90,50–60,Tienda,€,"Calle De Tudescos, 4, 28004",Centro
24,Super naan,28,3.1,0.90,50–60,India,€,"Calle Azabache, 6,  28019",Centro
25,Super Dog,25,3.7,0.90,30–50,Hamburguesas,€,"Calle Gran Vía, 16,  28004",Centro
26,Steak Burger,168,4.2,1.40,45–55,Americana,€,"Calle De La Cruz, 20,  28012",Centro
27,Galipan,23,4.2,0.90,45–55,Halal,€,"Calle Del Dr Cortezo, 7,  28012",Centro
28,El Turkito,200,4.1,0.90,30–40,Asiatica,€,"Paseo De Santa María De La Cabeza 14,  28012",Centro
29,Arepish,186,4.4,1.90,35–45,Venezolana,€,"Hilarion Eslava 42,  28015",Centro
30,CONVEXO,69,4.6,2.40,40–50,Pollo,€,"Calle Del Mesón De Paredes 52,  28012",Centro
31,Mandela 100,28,3.1,0.90,40–50,India,€,"Calle Del Espíritu Santo 16,  28004",Centro
32,MY Pasta Room,59,4.6,1.40,40–50,Italiana,€,"Calle Cáceres, 34, 28045",Centro
33,Ristorante Pizzería Dante,61,4.1,2.40,45–55,Pizza,€,"Calle Gran Vía 74,  28015",Centro
34,Trek Taco,28,3.1,0.90,40–50,Empanada,€,"Calle De San Bernardino, 20,  28015",Centro
35,MILA TOWN,28,3.1,1.40,35–45,Americana,€,"Plaza Del Comandante Las Morenas 3,  28013",Centro
36,Pollo Criollo,28,3.1,0.40,45–55,Pollo,€,"Paseo De Los Jesuitas 18,  28011",Centro
37,Gourmet Madrid,24,3.3,2.40,60–70,Pizza,€,"Calle De Luchana 13, 28010",Centro
38,Freedom Pizza,53,4.5,1.90,45–55,Pizza,€,"Calle De Mira El Sol 23b,  28005",Centro
39,La Cochinita Loca,19,4.3,1.40,40–50,Colombiana,€,"Calle De Lavapiés 34, 28012",Centro
40,Sonali Indian Restaurante,58,4.1,1.40,25–35,India,€,"Calle De Ayala 28,  28001",Centro
41,SANABRIA,28,3.1,2.40,55–65,Tapas y raciones,€,"Plaza De La Cebada, 10,  28005",Centro
42,Taberna La Buha,24,4.2,0.90,45–55,Tapas,€,"Calle De Galería De Vallehermoso 4, 28003",Centro
43,Real Fried Chicken,15,4.3,2.40,50–60,Alitas de pollo,€,"Calle De Moncada 122, 28021",Centro
44,Pollos a la brasa el Corral,31,4.6,3.00,30–50,Pollo,€,"Calle Mayor, 42,  28013",Centro
45,Las Muns,28,3.1,0.40,35–45,Panadería,€,"Calle Mayor, 31,  28012",Centro
46,Chocolateria Tacita de Plata,13,4.1,0.40,35–45,Postres,€,"Calle Gran Vía, 22,  28004",Centro
47,TGB,89,3.9,1.40,50–60,Hamburguesas,€€€,"Calle Vergara 3,  28013",Centro
48,Mr. Pizza Madrid,28,3.1,0.90,35–45,Italiana,€,"Calle De Toledo, 63,  28005",Centro
49,McDonald's,200,4.3,0.90,25–35,Hamburguesas,€,"Calle Libertad, 9, 28004",Centro
50,Puccias Chueca,28,3.1,1.40,30–40,Americana,€,"Paseo De Santa María De La Cabeza, 86,  28045",Centro
51,Beiben,14,4.2,1.90,30–40,Tapas,€,"Calle Andrés Mellado 43, 28015",Centro
52,La Bruja del Vesuvio,28,3.1,1.90,40–50,Comida rápida,€,"Calle De Cea Bermúdez 49,  28015",Centro
53,Cerveceria Riaño,28,3.1,2.90,45–55,Cerveza,€,"Calle De José Calvo 6,  28039",Centro
54,Badsha India Restaurant,200,4.4,1.00,15–35,India,€,"Calle De Embajadores,  28012",Arganzuela
55,TUTTO PASTA!,26,2.8,2.50,40–60,Especialidades,€,"Calle De Cáceres 1,  28045",Arganzuela
56,Pizza Central,31,3.8,2.99,35–55,Pizza,€,"Calle Cáceres, 34, 28045",Arganzuela
57,Ristorante Pizzería Dante,61,4.1,2.40,40–60,Pizza,€,"Paseo Del Doctor Vallejo Nágera, 25 , 28005",Arganzuela
58,Papa John's,200,4.3,0.90,20–30,Pizza,€,"Paseo Delicias, 65,  28045",Arganzuela
59,Domino's,33,4.3,1.00,15–35,Pizza,€,"Calle De Toledo 27,  28012",Arganzuela
60,Fritz Foods,41,4.5,1.90,45–55,Pizza,€,"Paseo De La Virgen Del Puerto, 45, 28005",Arganzuela
61,Kahuna,25,4.6,2.40,50–60,Burritos,€,"Plaza Emperador Carlos V 11 ,  28012",Arganzuela
62,Taco Bell,200,4.2,1.40,20–30,Hamburguesas,€,"Av. Del Manzanares, 210, 28026",Arganzuela
63,Hamburguesa Nostra,139,4.3,0.90,35–45,Postres,€,"C/ Preciados 36,  28013",Arganzuela
64,La Tagliatella,15,3.9,2.40,25–35,Pizza,€,"Paseo De Santa María De La Cabeza 14,  28012",Arganzuela
65,Arepish,186,4.4,1.40,25–35,Venezolana,€,"Paseo De Las Acacias, 22, 28005",Arganzuela
66,McDonald's,200,4.4,1.40,15–25,Hamburguesas,€,"Calle Monederos 12,  28026",Arganzuela
67,Precio Calidad y sabor,17,4.4,2.00,40–60,Bar Food,€€,"Calle De Mira El Sol, 1, 28005 ",Arganzuela
68,TAMCOC,28,3.1,1.40,45–55,Italiana,€€€,"Calle De La Alianza 33,  28041",Arganzuela
69,Chinawokexpress,200,4.2,4.25,30–50,China,€€€,"Calle Azabache, 6,  28019",Arganzuela
70,Super Dog,25,3.7,1.40,30–50,Hamburguesas,€,"Calle Del Gral. Ricardos, 92,  28019",Arganzuela
71,Autoservicio,77,4.8,2.40,30–40,Tienda,€,"Avenida De Rafaela Ybarra 37,  28026",Arganzuela
72,Perla del Pacifico,66,4.1,2.40,40–50,Mediterránea,€,"Avenida De Oporto 14,  28019",Arganzuela
73,TROPICALISSIMA,84,4.4,2.40,35–45,Americana,€,"Paseo De Santa María De La Cabeza, 86,  28045",Arganzuela
74,Beiben,14,4.2,0.40,25–35,Tapas,€,"Calle Del Pico De La Maliciosa 6,  28038",Arganzuela
75,Streat Lab,50,4.6,2.90,50–60,Pollo,€,"Calle Mayor, 38, 28013",Arganzuela
76,Popeyes,200,4.3,2.40,55–65,Pollo,€,"Calle Felipe Fraile 5,  28038",Arganzuela
77,On Rush,14,4.8,2.40,50–60,Burritos,€,"Avenida De La Albufera, 40,  28038",Arganzuela
78,El Sabroso Albufera,30,3.9,2.90,30–40,Comida rápida,€,"Calle Núñez De Arce, 11, 28012 ",Arganzuela
79,Pizzería Argentina El Trébol,24,4.3,2.99,35–55,Pizza,€,"Calle Dos Hermanas, 22, 28012 ",Arganzuela
80,La Alegría de la Huerta,28,3.1,1.90,30–40,Vegetariano,€,"Travesía De La Parada 6,  28015",Arganzuela
81,EL LATÓN GRIS,66,3.7,2.40,70–80,Pollo,€,"Calle Del Mesón De Paredes 52, 28012",Arganzuela
82,Mandela 100,28,3.1,1.40,40–50,India,€,"Calle De Mira El Sol 23b,  28005",Arganzuela
83,La Cochinita Loca,19,4.3,1.40,40–50,Colombiana,€,"C/ Ejos 15, 28026",Arganzuela
84,Pollo Rico Al carbón,68,4.5,1.90,40–50,Pollo,€,"Calle De Moncada 122,  28021",Arganzuela
85,Pollos a la brasa el Corral,31,4.6,3.00,30–50,Pollo,€,"Calle De La Antracita 12,  28045",Arganzuela
86,Empanadas Malvón,31,5.0,1.40,25–35,Empanada,€,"Calle Del Dr Cortezo, 7,  28012",Arganzuela
87,El Turkito,200,4.1,1.90,40–50,Asiatica,€,"Calle De La Cruz, 20,  28012",Arganzuela
88,Galipan,23,4.2,1.90,55–65,Halal,€,"Calle Gran Vía, 16,  28004",Arganzuela
89,Steak Burger,168,4.2,2.40,55–65,Americana,€,"Calle De Antonio López 109,  28026",Arganzuela
90,Pollo Criollo,28,3.1,1.40,45–55,Pollo,€,"Calle De Núñez De Arce 11,  28012",Arganzuela
91,Empanadas BAIRES,28,3.1,2.99,35–55,Empanada,€,"Calle De Tudescos, 4,  28004",Arganzuela
92,Super naan,30,3.1,2.40,65–75,India,€,"Calle De Lavapiés 34,  28012",Arganzuela
93,Sonali Indian Restaurante,58,4.1,1.40,30–40,India,€€€,"Calle De Los Donados 2,  28013",Arganzuela
94,Cor & Cor,30,3.1,2.40,55–65,Postres,€,"Calle Libertad, 9, 28004",Arganzuela
95,Puccias Chueca,30,3.1,2.40,40–50,Americana,€,"Ronda De Valencia, 14,  28012",Arganzuela
96,Aloha Poke,200,4.5,1.40,20–30,Poke,€,"Calle De Atocha 98,  28014",Arganzuela
97,Capasso Pizza,30,3.1,1.40,35–45,Pizza,€,"Calle De Lavapiés, 34,  28012",Arganzuela
98,Shapla Indian,31,4.3,1.40,35–45,Pizza,€,"Calle Arechavaleta 6,  28041",Arganzuela
99,Pura Italia,109,3.2,1.90,35–55,Italiana,€,"Plaza Del Comandante Las Morenas 3,  28013",Arganzuela
100,Pollo Criollo,30,3.1,1.90,60–70,Pollo,€,"Plaza De La Cebada, 10,  28005",Arganzuela
101,Taberna La Buha,24,4.2,1.90,55–65,Tapas,€,"Calle Ariel,15,  28045",Arganzuela
102,El Buen Gusto,17,4.5,1.90,45–55,Bar Food,€,"Calle De Palos De La Frontera 38, 28045",Arganzuela
103,La Pizza é Bella,12,4.5,1.40,25–35,Pizza,€,"Calle Mayor, 42,  28013",Arganzuela
104,Las Muns,30,3.1,2.40,50–60,Panadería,€,"Calle De Atocha, 117,  28012",Arganzuela
105,Halal Steak House Grill,30,3.1,1.40,30–40,Carne,€,"Calle De Silva, 25,  28004",Arganzuela
106,Home Burger Bar,200,4.3,2.40,60–70,Hamburguesas,€,"Plaza De Puerta Cerrada 6,  28005",Arganzuela
107,LaRegustosa,26,4.2,1.90,60–70,Empanada,€,"Calle De Embajadores, 12, 28012",Arganzuela
108,TUTTO PASTA!,26,2.8,2.50,40–60,Platos a base de harina,€,"Plaza Del Emperador Carlos V, 10, 28012",Retiro
109,Scarlett Real Food,30,3.1,1.40,35–45,Postres,€,"Calle De Cáceres 1,  28045",Retiro
110,Comida china yonghe,50,4.3,0.90,25–35,China,€,"Calle Cáceres, 34, 28045",Retiro
111,Ristorante Pizzería Dante,61,4.1,2.40,40–60,Pizza,€,"Paseo Del Doctor Vallejo Nágera, 25 ,  28005",Retiro
112,Papa John's,200,4.3,0.90,20–30,Pizza,€,"Paseo Delicias, 65,  28045",Retiro
113,Domino's,33,4.3,1.00,15–35,Pizza,€,"Calle Azulejo 2,  28028",Retiro
114,Pizzería Argentina El Trébol,30,3.1,1.90,40–50,Pizza,€,"Calle De Cáceres 1,  28045",Retiro
115,Comida china yonghe,50,4.3,1.90,40–50,China,€€€,"Calle De La Alianza 33,  28041",Retiro
116,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Del Pico De La Maliciosa 6,  28038",Retiro
117,Streat Lab,50,4.6,1.90,40–50,Pollo,€€€,"Calle Azabache, 6,  28019",Retiro
118,Super Dog,25,3.7,4.25,30–50,Hamburguesas,€,"Calle Felipe Fraile 5,  28038",Retiro
119,On Rush,14,4.8,1.40,40–50,Burritos,€,"Avenida De La Albufera, 40, 28038",Retiro
120,El Sabroso Albufera,30,3.9,1.90,20–30,Comida rápida,€,"Paseo De Santa María De La Cabeza 14, 28012",Retiro
121,Arepish,186,4.4,1.90,35–45,Venezolana,€,"Av. De La Albufera, 91,  28053",Retiro
122,Pizz-a-porter,30,3.1,1.90,40–50,Pizza,€€,"Calle De Mira El Sol, 1, 28005 ",Retiro
123,TAMCOC,30,3.1,2.40,55–65,Italiana,€,"Calle Alcala 191, 28006",Retiro
124,Pastamore,98,4.6,1.90,30–40,Italiana,€,"Calle Cáceres, 34, 28045",Retiro
125,Ristorante Pizzería Dante,61,4.1,2.40,45–55,Pizza,€,"Calle Azulejo 2,  28028",Retiro
126,Empanadas BAIRES,30,3.1,1.90,45–55,Empanada,€,"Calle De Ayala 28,  28001",Retiro
127,SANABRIA,30,3.1,2.40,50–60,Tapas y raciones,€,"Calle Dos Hermanas, 22, 28012 , España,   28012",Retiro
128,La Alegría de la Huerta,30,3.1,2.90,40–50,Vegetariano,€,"Calle De Moncada 122,  28021",Retiro
129,Pollos a la brasa el Corral,31,4.6,3.00,30–50,Pollo,€,"Calle De Narváez, 60, 28009",Retiro
130,Empanadas Malvón,35,4.8,1.40,25–35,Empanada,€,"Calle Gran Vía, 16, 28004",Retiro
131,Steak Burger,168,4.2,2.40,55–65,Americana,€,"Calle Del Pico De La Maliciosa 6,  28038",Retiro
132,Bur Burger,50,4.4,2.40,40–50,Hamburguesas,€,"Calle De Núñez De Arce 11,  28012",Retiro
133,Empanadas BAIRES,30,3.1,2.99,35–55,Empanada,€,"Calle De La Cruz, 20,  28012",Retiro
134,Galipan,23,4.2,2.40,60–70,Halal,€,"Calle Del Dr Cortezo, 7,  28012",Retiro
135,El Turkito,200,4.1,2.40,50–60,Asiatica,€,"Paseo De Santa María De La Cabeza, 86, 28045",Retiro
136,Beiben,14,4.2,2.40,35–45,Tapas,€,"Calle Del Mesón De Paredes 52,  28012",Retiro
137,Mandela 100,30,3.1,2.40,50–60,India,€,"Calle De Lavapiés 34, 28012",Retiro
138,Sonali Indian Restaurante,58,4.1,2.40,40–50,India,€,"Av. De La Albufera, 20,  28053",Retiro
139,Popeyes,187,4.1,1.99,20–40,Pollo,€,"Calle De Mira El Sol 23b, 28005",Retiro
140,La Cochinita Loca,19,4.3,2.40,45–55,Colombiana,€,"Calle De Las Naciones 5,  28006",Retiro
141,PaellaGood,30,3.1,1.90,45–55,Mediterránea,€,"Paseo Del Marqués De Zafra 38, 28028",Retiro
142,DIVE`S FOOD,30,3.1,1.90,40–50,Hamburguesas,€€,"Calle Lopez de Hoyos 15, 28006",Retiro
143,100 % Sano,30,3.1,1.90,35–45,Saludable,€,"Calle Libertad, 9, 28004",Retiro
144,Puccias Chueca,30,3.1,2.40,40–50,Americana,€,"Calle Del Gral. Pardiñas, 32, 28001",Retiro
145,Rude Burger,36,4.8,1.90,35–45,Hamburguesas,€€,"Calle Conde De Penalver 35,  28006",Retiro
146,Cor & Cor,35,4.3,1.90,45–55,Postres,€,"Av. De La Albufera, 1, 28038",Retiro
147,McDonald's,200,4.4,1.40,20–30,Hamburguesas,€,"Calle Del Marqués De Mondéjar, 4,  28028",Retiro
148,Thai Zafra,38,4.6,1.90,30–40,Pasta,€,"Calle Ariel,15,  28045",Retiro
149,El Buen Gusto,17,4.5,1.90,45–55,Bar Food,€,"Avenida De La Albufera 119,  28038",Retiro
150,Kebab Rayo,117,3.8,2.40,35–45,Kebab,€,"Calle De Atocha 98,  28014",Retiro
151,Capasso Pizza,30,3.1,1.90,35–45,Pizza,€,"Calle De Lavapiés, 34, 28012",Retiro
152,Shapla Indian,31,4.3,2.40,40–50,Comida reconfortante,€,"Calle De Silva, 25, 28004",Retiro
153,Home Burger Bar,200,4.3,2.90,60–70,Hamburguesas,€,"Calle Del Dr. Esquerdo, 10, 28009",Retiro
154,Empanadas Pampas,30,3.1,1.90,35–45,Empanada,€,"Calle Gran Vía, 22, 28004",Retiro
155,TGB,89,3.9,2.40,60–70,Hamburguesas,€,"Calle Hortaleza,6, 28004",Retiro
156,Bosforos Turkish Restaurant,34,4.3,2.90,50–60,India,€,"Calle De Atocha, 117, 28012",Retiro
157,Halal Steak House Grill,30,2.9,1.90,35–45,Carne,€,"Calle De Barceló 6, 28004",Retiro
158,Mad Pollo,45,4.0,1.90,15–35,Pollo,€,"Av. Del Mediterráneo, 30, 28007",Retiro
159,Mahalo Poke,30,2.9,2.50,30–50,Poke,€€,"Calle Del Puerto De Balbarán 31,  28018",Retiro
160,Kebab Entrevias,43,4.5,2.90,35–45,Kebab,€,"Calle De Santa Isabel, 5, 28012",Retiro
161,Moñetes,30,2.9,1.90,35–45,Pizza,€,"Calle De Embajadores, 15, 28045",Retiro
162,TUTTO PASTA!,26,2.8,2.50,40–60,Postres,€,"Avda. Felipe II, 17, 28009",Salamanca
163,La Tagliatella,38,4.5,1.90,25–35,Pizza,€,"Plaza Del Emperador Carlos V, 10, 28012",Salamanca
164,Scarlett Real Food,30,2.9,1.90,35–45,Postres,€,"Calle Del Conde De Peñalver, 13, 28006",Salamanca
165,La Cuchara,30,2.9,2.40,40–50,Gourmet,€,"Alcalde Luis De Marichala 3,  28030",Salamanca
166,Papa John's,127,4.1,1.40,35–45,Pizza,€,"Calle De Ángel González Tejedor 5,  28017",Salamanca
167,Taco Bell,200,4.2,1.90,25–35,Hamburguesas,€,"Plaza Del Emperador Carlos V, 10, 28012",Salamanca
168,Scarlett Real Food,29,2.9,2.40,45–55,Postres,€,"Calle Azulejo 2,  28028",Salamanca
169,Pizzería Argentina El Trébol,29,2.9,1.40,30–40,Pizza,€,"Calle De José Ortega Y Gasset 94, 28006",Salamanca
170,Empanadas Malvón,48,4.9,0.90,15–25,Empanada,€,"Calle De Luchana 17,  28010",Salamanca
171,Pizzart Luchana,29,2.9,2.40,55–65,Pizza,€,"Calle Alcala 191,  28006",Salamanca
172,Pastamore,98,4.6,0.90,15–25,Italiana,€,"Calle De San Andrés, 26, 28004",Salamanca
173,Roost Chicken,29,2.9,2.40,50–60,Pollo,€,"Plaza Emperador Carlos V, 11 , 28012",Salamanca
174,Taco Bell,200,4.2,2.40,35–45,Hamburguesas,€€,"Calle De La Alianza 33, 28041",Salamanca
175,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Plaza Bami, 26, 28017",Salamanca
176,El Burrito Borracho,29,2.9,1.90,35–45,Burritos,€€,"Calle De Azcona 36,  28028",Salamanca
177,Arepish,186,4.6,0.90,25–35,Venezolana,€€€,"Calle De Alcalá, 344,   28027",Salamanca
