,Restaurante,Valoracion,Nota,Delivery_fee,ETA,Tag,Precio,Direccion,Barrio,Lat,Lon
175,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Plaza Bami, 26,  Madrid",Salamanca,40.45866,-3.64638
176,El Burrito Borracho,29,2.9,1.9,35–45,Burritos,€€,"Calle De Azcona 36,   Madrid",Salamanca,40.38927,-3.7415
177,Arepish,186,4.6,0.9,25–35,Venezolana,€€€,"Calle De Alcalá, 344,    Madrid",Salamanca,40.44291,-3.61886
178,Little Caesars Pizza,200,4.5,2.4,30–40,Pizza,€€€,"Calle Azulejo 2,   Madrid",Salamanca,40.33274,-3.71905
179,Empanadas BAIRES,29,2.9,1.4,35–45,Empanada,€,"Calle De Ayala 28,   Madrid",Salamanca,40.42774,-3.68571
180,SANABRIA,29,2.9,1.4,50–60,Tapas y raciones,€,"Calle Del Gral. Pardiñas, 32,  Madrid",Salamanca,40.42651,-3.67813
181,Rude Burger,36,4.8,0.9,25–35,Hamburguesas,€€,"Calle Lopez de Hoyos 15,  Madrid",Salamanca,40.44861,-3.66712
182,100 % Sano,29,2.9,0.9,20–30,Saludable,€€€,"Calle Conde De Penalver 35,   Madrid",Salamanca,40.42846,-3.67524
183,Cor & Cor,35,4.3,0.4,35–45,Postres,€,"López De Hoyos , 153,   Madrid",Salamanca,40.44872,-3.66864
184,Popeyes,200,4.4,2.4,35–45,Pollo,€,"Calle Del Príncipe De Vergara, 210,    Madrid",Salamanca,40.42562,-3.67992
185,Home Burger Bar,198,4.1,2.4,30–40,Hamburguesas,€,"Calle Maldonado 07,  Madrid",Salamanca,40.43367,-3.68057
186,Artisan Burger,29,2.9,0.9,40–50,Hamburguesas,€,"Calle Del Marqués De Mondéjar, 4,  Madrid",Salamanca,40.42681,-3.66684
187,Thai Zafra,38,4.6,0.9,15–25,Everyday Essentials,€,"Calle De Maldonado, 51,  Madrid",Salamanca,40.43378,-3.6789
188,Tiendas 7x24,140,4.8,0.9,20–30,Saludable,€,"Calle De Velázquez, 118,  Madrid",Salamanca,40.43525,-3.68349
189,Makan Saj Manoushe,200,4.9,1.4,30–40,India,€,"Paseo Del Marqués De Zafra 38,   Madrid",Salamanca,40.42547,-3.66303
190,DIVE`S FOOD,29,2.9,1.4,35–45,Hamburguesas,€,"Calle De María De Molina, 44,  Madrid",Salamanca,40.43794,-3.68459
191,Flame,29,2.9,1.4,40–50,Hamburguesas,€,"Calle De Luchana 13,   Madrid",Salamanca,40.43,-3.70099
192,Freedom Pizza,53,4.5,2.4,45–55,Pizza,€,"Calle Del Espíritu Santo 16,   Madrid",Salamanca,40.42557,-3.70629
193,MY Pasta Room,59,4.6,2.4,50–60,Italiana,€,"Calle Gran Vía, 16,    Madrid",Salamanca,40.41966,-3.69894
194,Steak Burger,168,4.2,2.4,55–65,Americana,€,"Calle De Goya, 70,  Madrid",Salamanca,40.42469,-3.67663
195,McDonald's,200,4.6,0.9,15–25,Hamburguesas,€,"Calle De Las Naciones 5,   Madrid",Salamanca,40.42685,-3.6736
196,PaellaGood,29,2.9,0.4,30–40,Mediterránea,€,"Calle De Núñez De Arce 11,   Madrid",Salamanca,40.41538,-3.70124
197,Empanadas BAIRES,29,2.9,2.99,35–55,Empanada,€,"Calle De Carranza 3,   Madrid",Salamanca,40.42895,-3.70276
198,Tiendas 7x24,70,4.6,2.4,45–55,Comida rápida,€,"Calle Del Dr. Esquerdo, 10,  Madrid",Salamanca,40.42661,-3.66826
199,Empanadas Pampas,29,2.9,0.9,25–35,Empanada,€,"Calle Esteban Collantes, 31,   Madrid",Salamanca,40.43166,-3.64089
200,Croqueteria Focos,29,2.9,2.9,35–45,Croquetas,€,"Calle De La Cruz, 20,    Madrid",Salamanca,40.41553,-3.70175
201,Galipan,23,4.2,2.9,60–70,Halal,€,"Calle De Tudescos, 4,  Madrid",Salamanca,40.3747,-3.65969
202,Super naan,29,2.9,2.4,60–70,India,€,"Calle Mateo García, 13,  Madrid",Salamanca,40.4316,-3.65271
203,Pollos Gourmet,29,2.9,1.9,30–40,Pollo,€,"Calle De Gonzalo De Berceo 63,   Madrid",Salamanca,40.42865,-3.6399
204,Asador Perla del Pacifico Ascao,39,4.6,2.9,40–50,Carne,€,"Calle Libertad, 9,  Madrid",Salamanca,40.42072,-3.69767
205,Puccias Chueca,29,2.9,2.4,40–50,Americana,€,"Calle Del Cardenal Cisneros 1,  Madrid",Salamanca,40.42965,-3.70165
206,Graal,29,2.9,2.4,60–70,Ramen,€,"Calle De Méjico 20,   Madrid",Salamanca,40.43736,-3.67305
207,Restaurante Chino Diamante,100,4.0,1.4,25–35,China,€,"Calle De José Abascal 31,  Madrid",Salamanca,40.43856,-3.69891
208,Junk Burger,31,4.3,1.9,45–55,Hamburguesas,€,"Calle De Hermosilla, 91,  Madrid",Salamanca,40.42607,-3.67616
209,Esmirna Doner Kebap,48,4.7,0.9,25–35,Kebab,€,"Av. De Felipe II, 8,  Madrid",Salamanca,40.42385,-3.6765
210,Aloha Poke,200,4.7,0.9,20–30,Poke,€,"Calle Zabaleta 1,   Madrid",Salamanca,40.44065,-3.67537
211,CHUCK CHUCK CHICKEN,29,2.9,1.4,35–45,Pollo,€,"Calle Gran Vía, 22,  Madrid",Salamanca,40.42011,-3.7007
212,TGB,89,3.9,2.4,65–75,Hamburguesas,€,"Calle Génova 27,  Madrid",Salamanca,40.46663,-3.65361
213,VIPS,16,4.8,1.9,50–60,Americana,€,"Calle De Atocha 98,  Madrid",Salamanca,40.41053,-3.6958
214,Capasso Pizza,29,2.9,2.4,45–55,Pizza,€,"Calle De La Virgen De La Fuencisla, 19,   Madrid",Salamanca,40.39654,-3.66673
215,HyH Kebab Fried Chicken,23,3.6,1.0,40–60,Pollo,€,"Calle De José Calvo 6,  Madrid",Salamanca,40.45883,-3.70845
216,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle De Embajadores, 17 ,  Madrid",Chamartín,40.40069,-3.69925
217,TUTTO PASTA!,26,2.8,2.5,40–60,Postres,€,"Avda. Felipe Ii, 17,  Madrid",Chamartín,40.42413,-3.67285
219,Papa John's,200,4.5,1.4,30–40,Pizza,€,"Calle Del Conde De Peñalver, 17,  Madrid",Chamartín,40.42665,-3.67583
221,Papa John's,200,4.3,0.9,25–35,Pizza,€,"Calle Del Conde De Serrallo, 1,  Madrid",Chamartín,40.46554,-3.69196
222,Taberna Andaluza,25,4.4,1.4,40–50,Tapas,€,"Paseo De La Castellana 191,   Madrid",Chamartín,40.46807,-3.68995
223,Taco Bell,200,4.1,1.4,25–35,Hamburguesas,€,"Calle Araucaria 19,   Madrid",Chamartín,40.46046,-3.70001
224,Roost Chicken,123,4.6,1.9,35–45,Pollo,€,"Av. De Brasil, 6,  Madrid",Chamartín,40.45833,-3.69354
225,La Mordida,25,4.4,1.4,45–55,Mediterránea,€,"Calle Del Príncipe De Vergara, 210,    Madrid",Chamartín,40.42562,-3.67992
226,Home Burger Bar,198,4.1,0.9,25–35,Hamburguesas,€€€,"Calle De Huesca, 19, Bajo,    Madrid",Chamartín,40.45804,-3.69889
227,La cabaña de cris,29,2.9,1.9,50–60,Pollo,€€,"Calle De Bravo Murillo 199,   Madrid",Chamartín,40.45622,-3.70204
228,Pollos al Carbón,21,3.6,5.0,15–35,Pollo,€,"Calle De Manuel De Falla 5,   Madrid",Chamartín,40.45502,-3.68811
229,Limbo Player Two,29,2.9,0.9,45–55,Carne,€€,"Av. De Brasil, 17,  Madrid",Chamartín,40.45837,-3.69289
230,Ala Sushi,29,2.9,1.4,30–40,Sushi,€€,"Calle De Bravo Murillo, 113,  Madrid",Chamartín,40.44805,-3.70399
231,Little Caesars Pizza,200,4.6,3.0,5–25 ,Pizza,€,"Calle De La Infanta Mercedes, 17,  Madrid",Chamartín,40.45303,-3.69951
232,Toro Burger Lounge,23,4.1,1.9,55–65,Alcohol,€,"Castellana, 123,  Madrid",Chamartín,40.45826,-3.69067
233,Popeyes,200,4.0,1.4,30–40,Pollo,€,"Calle Castilla,4   Madrid",Chamartín,40.45286,-3.70425
234,MANKA,52,4.9,2.4,55–65,Pizza,€,"Paseo De La Castellana 130,  Madrid",Chamartín,40.4502,-3.69019
235,Yakitoro,26,4.5,1.4,55–65,Pollo,€,"Calle De Francos Rodríguez, 42,  Madrid",Chamartín,40.45552,-3.70451
236,EL ASADOR,40,2.9,2.4,60–70,Carne,€,"Calle Del Príncipe De Vergara 256,   Madrid",Chamartín,40.42562,-3.67992
237,Empanadas Malvón,12,5.0,0.9,20–30,Empanada,€,"Paseo De La Castellana, 210,  Madrid",Chamartín,40.4632,-3.68894
238,Taberna del Volapié,40,2.9,1.4,40–50,Tapas,€€€,"Calle De Azcona 36,   Madrid",Chamartín,40.38927,-3.7415
239,Arepish,186,4.6,2.9,35–45,Venezolana,€€€,"Calle De Bravo Murillo 122,  Madrid",Chamartín,40.4491,-3.70348
240,Arepish,53,4.6,2.4,55–65,Venezolana,€,"Calle De San Germán, 64,  Madrid",Chamartín,40.45729,-3.70018
241,Fast chicken chain,40,2.9,1.9,45–55,Pollo,€,"Av. De Pío Xii, 4,  Madrid",Chamartín,40.47213,-3.67428
242,McDonald's,150,4.5,0.9,20–30,Hamburguesas,€,"Calle De Raimundo Fernández Villaverde, 33,  Madrid",Chamartín,40.44705,-3.70016
243,Pizza Central,22,3.1,2.4,50–60,Pizza,€,"Calle De Velázquez, 118,  Madrid",Chamartín,40.43525,-3.68349
244,Makan Saj Manoushe,200,4.9,2.4,30–40,India,€,"Calle De María De Molina, 44,  Madrid",Chamartín,40.43794,-3.68459
245,Flame,40,2.9,2.4,45–55,Hamburguesas,€,"Intercambiador De Plaza De Castilla,  Madrid",Chamartín,40.46847,-3.68845
246,Busburguer,98,4.5,1.4,30–40,Hamburguesas,€,"Calle De Lérida 58,   Madrid",Chamartín,40.45625,-3.70013
247,Polloco Gourmet,40,2.9,3.0,30–50,Pollo,€,"Calle De Maldonado, 51,  Madrid",Chamartín,40.43378,-3.6789
248,Tiendas 7x24,140,4.8,2.9,30–40,Opciones para alergias,€,"Calle Maldonado 07,  Madrid",Chamartín,40.43367,-3.68057
249,Artisan Burger,40,2.9,2.4,45–55,Hamburguesas,€,"Bravo Murillo, 120,   Madrid",Chamartín,40.44861,-3.7035
250,Pomodoro,87,3.8,2.4,55–65,Italiana,€,"Calle De José Abascal 31,  Madrid",Chamartín,40.43856,-3.69891
251,Junk Burger,31,4.3,2.4,50–60,Hamburguesas,€,"Calle De María De Molina, 16,  Madrid",Chamartín,40.43794,-3.68459
252,Aloha Poke,163,4.5,2.4,40–50,Poke,€,"Calle De Barceló 6, 318,   Madrid",Chamartín,40.42659,-3.70073
253,Mad Pollo,45,4.0,2.4,15–35,Pollo,€,"Calle Zabaleta 1,   Madrid",Chamartín,40.44065,-3.67537
254,CHUCK CHUCK CHICKEN,40,2.9,1.9,40–50,Pollo,€,"Calle De Arturo Soria, 189,  Madrid",Chamartín,40.45843,-3.65932
255,Pasteleria Saul,27,4.2,1.9,25–35,Everyday Essentials,€,"Calle Bravo Murillo, 229,  Madrid",Chamartín,40.46448,-3.69484
256,Galp,19,4.3,1.9,45–55,Tienda,€,"Calle Del Cactus, 42 ,   Madrid",Chamartín,40.46117,-3.7001
257,Chili House🌶,40,2.9,1.9,45–55,Mexicana,€,"Calle De Méjico, 20,   Madrid",Chamartín,40.43736,-3.67305
258,Restaurante Chino Diamante,100,4.0,2.4,30–40,China,€,"Plaza Sagrado Corazón De Jesús, 2,  Madrid",Chamartín,40.41349,-3.69582
259,Foster's Hollywood,65,4.2,1.4,30–40,Americana,€,"Calle Del Príncipe De Vergara 258,   Madrid",Chamartín,40.42562,-3.67992
260,Empanadas BAIRES,40,2.9,0.9,25–35,Empanada,€,"Calle Zabaleta 1,   Madrid",Chamartín,40.44065,-3.67537
261,Golat Helados,40,2.9,1.9,35–45,Postres,€,"Calle De San Andrés, 31,  Madrid",Chamartín,40.42842,-3.70346
262,Pic & Nic,200,4.4,3.4,60–70,Mediterránea,€€€,"Calle Zabaleta 1,   Madrid",Chamartín,40.44065,-3.67537
263,Frambons,40,2.9,1.9,35–45,Empanada,€,"Calle De Raimundo Fernández Villaverde 33,   Madrid",Chamartín,40.44705,-3.70016
264,Empanadas BAIRES,13,4.0,2.4,55–65,Empanada,€,"Calle De Cartagena, 131,  Madrid",Chamartín,40.44257,-3.67585
265,Doner kebap efes,23,4.7,1.9,25–35,Kebab,€€€,"Calle De López De Hoyos 11,   Madrid",Chamartín,40.44849,-3.66731
266,Crepes & Waffles,19,4.5,2.4,45–55,Postres,€€€,"Calle De López De Hoyos, 139,  Madrid",Chamartín,40.44849,-3.66731
267,Doner kebap efes,30,4.6,1.9,30–40,Kebab,€,"Calle Bravo Murillo 218,   Madrid",Chamartín,40.46448,-3.69484
268,Sultán kebab,19,3.0,1.9,30–40,Árabe,€€,"Calle De Bravo Murillo, 215,  Madrid",Chamartín,40.45761,-3.70118
269,Great Kebab,40,2.9,1.9,40–50,Kebab,€,"Calle De José Calvo 6,   Madrid",Chamartín,40.45883,-3.70845
270,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle De Embajadores,  Madrid",Tetuán,40.40069,-3.69925
271,TUTTO PASTA!,26,2.8,2.6,40–60,Española,€,"Calle De José Calvo 10,  Madrid",Tetuán,40.45883,-3.70845
275,La Tagliatella,61,3.8,1.4,25–35,Pizza,€,"Paseo De La Castellana 191,  Madrid",Tetuán,40.46807,-3.68995
276,Taco Bell,200,4.1,1.4,20–30,Hamburguesas,€,"Calle De Bravo Murillo 250,   Madrid",Tetuán,40.45982,-3.69898
277,Empanadas Malvón,25,4.7,0.4,25–35,Empanada,€,"Av. De Brasil, 6,  Madrid",Tetuán,40.45833,-3.69354
278,La Mordida,25,4.4,0.9,45–55,Mediterránea,€,"Calle De Bravo Murillo, 206,  Madrid",Tetuán,40.45522,-3.70284
279,Express 88,60,4.6,0.9,30–40,De Latinoamérica,€€€,"Calle De Huesca, 19, Bajo,  Madrid",Tetuán,40.45804,-3.69889
280,La cabaña de cris,40,3.5,0.9,35–45,Pollo,€€€,"Calle De Bravo Murillo 199,   Madrid",Tetuán,40.45622,-3.70204
281,Pollos al Carbón,21,3.6,5.0,15–35,Pollo,€,"Calle De La Infanta Mercedes 17,  Madrid",Tetuán,40.45303,-3.69951
282,Toro Burger Lounge,23,4.1,0.9,50–60,Empanada,€,"Calle De Raimundo Fernández Villaverde, 33,  Madrid",Tetuán,40.44705,-3.70016
283,Pizzería El Trébol 24h,18,4.4,1.4,35–45,Pizza,€€,"Av. De Brasil, 17,  Madrid",Tetuán,40.45837,-3.69289
284,Ala Sushi,40,3.5,0.9,30–40,Sushi,€,"Calle Castilla,4 ,  Madrid",Tetuán,40.45286,-3.70425
285,MANKA,52,4.9,0.9,40–50,Pizza,€€€,"Calle De Bravo Murillo, 113,  Madrid",Tetuán,40.44805,-3.70399
286,Little Caesars Pizza,200,4.6,3.0,15–25 ,Pizza,€,"Calle De Francos Rodríguez, 42,  Madrid",Tetuán,40.45552,-3.70451
287,EL ASADOR,40,3.5,0.9,55–65,Carne,€,"Calle De Manuel De Falla 5,   Madrid",Tetuán,40.45502,-3.68811
288,Limbo Player Two,40,3.5,1.4,45–55,Carne,€,"Castellana, 123,  Madrid",Tetuán,40.45826,-3.69067
289,Popeyes,200,4.0,0.9,25–35,Pollo,€,"Calle De San Germán, 64,  Madrid",Tetuán,40.45729,-3.70018
290,Fast chicken chain,40,3.5,0.9,35–45,Pollo,€,"Paseo De La Castellana 130,  Madrid",Tetuán,40.4502,-3.69019
291,Yakitoro,26,4.5,1.4,55–65,Comida reconfortante,€,"Calle Del Príncipe De Vergara, 210,  Madrid",Tetuán,40.42562,-3.67992
292,Home Burger Bar,198,4.1,1.9,35–45,Hamburguesas,€€,"Calle De Bravo Murillo 122,  Madrid",Tetuán,40.4491,-3.70348
293,Arepish,53,4.6,1.4,40–50,Venezolana,€,"C.C. La Vaguada, Av. De Monforte De Lemos, 32,  Madrid",Tetuán,40.47888,-3.70657
294,TGB,66,4.1,2.4,50–60,Hamburguesas,€,"Calle De Galería De Vallehermoso 4,  Madrid",Tetuán,40.43946,-3.70777
295,Real Fried Chicken,15,4.3,2.4,50–60,Alitas de pollo,€,"Avenida De Monforte De Lemos 36,  Madrid",Tetuán,40.47932,-3.7065
296,Pollo Criollo,40,3.5,2.4,55–65,Pollo,€,"Calle De Lérida 58,   Madrid",Tetuán,40.45625,-3.70013
297,Polloco Gourmet,40,3.5,3.0,30–50,Pollo,€,"Paseo De La Castellana, 210,  Madrid",Tetuán,40.4632,-3.68894
298,Taberna del Volapié,40,3.5,1.4,40–50,Tapas,€,"Calle De Cea Bermúdez 49,  Madrid",Tetuán,40.43905,-3.70972
299,Cerveceria Riaño,40,3.5,2.9,40–50,Cerveza,€,"Calle Bravo Murillo, 229,  Madrid",Tetuán,40.46448,-3.69484
300,Galp,19,4.3,0.9,35–45,Tienda,€,"Calle De Bravo Murillo, 274,  Madrid",Tetuán,40.46087,-3.69813
301,McDonald's,200,4.2,0.4,20–30,Hamburguesas,€,"Intercambiador De Plaza De Castilla,   Madrid",Tetuán,40.46847,-3.68845
302,Busburguer,98,4.5,1.4,25–35,Hamburguesas,€,"Calle De José Abascal 31,  Madrid",Tetuán,40.43856,-3.69891
303,Junk Burger,31,4.3,1.9,45–55,Hamburguesas,€,"Calle Del Cactus 42,   Madrid",Tetuán,40.46117,-3.7001
304,Chili House🌶,40,3.5,0.9,35–45,Mexicana,€,"Bravo Murillo, 120,   Madrid",Tetuán,40.44861,-3.7035
305,Pomodoro,87,3.8,1.4,40–50,Italiana,€,"Calle De Galileo, 75,  Madrid",Tetuán,40.43769,-3.71015
306,Tosty,40,3.5,2.4,50–60,Family Meals,€,"Calle De Barceló 6,   Madrid",Tetuán,40.42659,-3.70073
307,Mad Pollo,45,4.0,1.4,15–35,Pollo,€,"Calle De María De Molina, 16,  Madrid",Tetuán,40.43794,-3.68459
308,Aloha Poke,163,4.5,2.4,40–50,Poke,€,"Calle De San Andrés, 31,  Madrid",Tetuán,40.42842,-3.70346
309,Pic & Nic,200,4.4,2.9,55–65,Mediterránea,€€,"Plaza Sagrado Corazón De Jesús, 2,  Madrid",Tetuán,40.41349,-3.69582
310,Foster's Hollywood,65,4.2,2.4,35–45,Americana,€€,"Paseo De S. Fco. De Sales, 3,   Madrid",Tetuán,40.44,-3.71705
311,Taste of America,40,3.5,2.4,35–45,Americana,€,"Calle De Raimundo Fernández Villaverde 33,   Madrid",Tetuán,40.44705,-3.70016
312,Empanadas BAIRES,13,4.0,1.4,45–55,Empanada,€,"Calle Bravo Murillo 218,   Madrid",Tetuán,40.46448,-3.69484
313,Sultán kebab,19,3.0,0.9,25–35,Árabe,€€,"Calle De Bravo Murillo, 34,  Madrid",Tetuán,40.43741,-3.70402
314,Astros,40,3.5,2.4,45–55,Family Meals,€,"Calle Del Príncipe De Vergara 258,   Madrid",Tetuán,40.42562,-3.67992
315,Empanadas BAIRES,40,3.5,1.9,35–45,Empanada,€,"Paseo De S. Fco. De Sales, 17,  Madrid",Tetuán,40.44103,-3.71533
316,Cherry Pecas,92,4.4,2.4,30–40,Comida rápida,€,"Calle De José Calvo 10,   Madrid",Tetuán,40.45883,-3.70845
317,Pops ´n Bops,40,3.5,0.9,45–55,Árabe,€€,"Calle De Bravo Murillo, 215,  Madrid",Tetuán,40.45761,-3.70118
318,Great Kebab,40,3.5,0.9,35–45,Kebab,€,"Calle De Bravo Murillo 193,  Madrid",Tetuán,40.45457,-3.70302
319,"Real Estambul Pizza, Doner y Kebab",15,3.4,0.9,40–50,Mediterránea,€,"Cc La Vaguada Av Monforte De Lemos 36,   Madrid",Tetuán,40.47888,-3.70657
320,Willy Factory,40,3.5,2.4,40–50,Opciones para alergias,€,"Av. De Betanzos, 31,   Madrid",Tetuán,40.47427,-3.71128
321,Kebab Rico Rico,44,4.4,0.9,40–50,Kebab,€,"Calle Federico Sainz De Robles 3,  Madrid",Tetuán,40.39652,-3.6694
322,Oriental Palace,167,4.4,2.4,40–50,Asiatica,€,"Calle De La Infanta Mercedes, 103,  Madrid",Tetuán,40.46341,-3.69385
323,Pizzeria Nuns,40,3.5,0.9,40–50,Pizza,€,"Calle De José Calvo 6,  Madrid",Tetuán,40.45883,-3.70845
324,Badsha India Restaurant,200,4.4,2.4,40–50,India,€,"Calle De José Calvo 10,  Madrid",Chamberí,40.45883,-3.70845
325,Comida de Pueblo,40,3.5,0.9,25–35,Gourmet,€,"Calle Araucaria 19,   Madrid",Chamberí,40.46046,-3.70001
327,Papa John's,200,4.2,0.9,30–40,Pizza,€,"Calle Del Conde De Serrallo, 1,  Madrid",Chamberí,40.46554,-3.69196
328,Taberna Andaluza,25,4.4,1.4,35–45,Tapas,€,"Calle Del Conde De Peñalver, 13,  Madrid",Chamberí,40.42635,-3.67538
331,Papa John's,200,4.3,0.4,30–40,Pizza,€,"Calle De San Andrés, 26,  Madrid",Chamberí,40.42735,-3.70352
332,Roost Chicken,40,3.5,0.9,40–50,Pollo,€,"Calle De Toledo 27,   Madrid",Chamberí,40.41377,-3.70737
333,Fritz Foods,41,4.5,1.9,50–60,Pizza,€,"Calle Araucaria 19,   Madrid",Chamberí,40.46046,-3.70001
334,Roost Chicken,123,4.6,1.9,40–50,Pollo,€,"Calle De Raimundo Fernández Villaverde, 33,  Madrid",Chamberí,40.44705,-3.70016
335,Pizzería El Trébol 24h,18,4.4,0.9,35–45,Pizza,€,"Calle De Arriaza, 6,  Madrid",Chamberí,40.42104,-3.71579
336,El Imperio de la Empanada,40,3.5,1.4,55–65,Empanada,€,"Hilarion Eslava 42,   Madrid",Chamberí,40.43649,-3.71684
337,CONVEXO,69,4.6,0.9,35–45,Pollo,€,"Calle De Galería De Vallehermoso 4,  Madrid",Chamberí,40.43946,-3.70777
338,Real Fried Chicken,15,4.3,0.4,40–50,Alitas de pollo,€€,"Calle De La Alianza 33,  Madrid",Chamberí,40.35775,-3.68689
339,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Av. De Brasil, 6,  Madrid",Chamberí,40.45833,-3.69354
340,La Mordida,25,4.4,1.4,55–65,Mediterránea,€,"Calle De Carranza 3,   Madrid",Chamberí,40.42895,-3.70276
341,Tiendas 7x24,70,4.6,0.9,35–45,Pizza,€€,"Calle De Bravo Murillo, 113,  Madrid",Chamberí,40.44805,-3.70399
342,Little Caesars Pizza,200,4.6,0.9,40–50,Pizza,€€€,"Calle Azabache, 6,  Madrid",Chamberí,40.39215,-3.72487
343,Super Dog,25,3.7,2.4,40–50,Hamburguesas,€€€,"Calle De Bravo Murillo 199,   Madrid",Chamberí,40.45622,-3.70204
344,Pollos al Carbón,21,3.6,5.0,15–35,Pollo,€,"Calle Andrés Mellado 43,   Madrid",Chamberí,40.44112,-3.71427
345,La Bruja del Vesuvio,15,3.5,0.9,35–45,Comida rápida,€,"Calle De Luchana 13,   Madrid",Chamberí,40.43,-3.70099
346,Freedom Pizza,53,4.5,0.4,35–45,Pizza,€€,"Calle De Huesca, 19,  Madrid",Chamberí,40.45804,-3.69889
347,La cabaña de cris,15,3.5,1.9,50–60,Pollo,€,"P.º De La Florida, 2,  Madrid",Chamberí,40.42149,-3.71954
348,KFC - Principe Pio,15,3.5,1.9,55–65,Pollo,€,"Calle De La Infanta Mercedes 17,  Madrid",Chamberí,40.45303,-3.69951
349,Toro Burger Lounge,23,4.1,1.4,55–65,Hamburguesas,€,"Travesía De La Parada 6,   Madrid",Chamberí,40.42286,-3.70803
350,EL LATÓN GRIS,66,3.7,1.4,55–65,Pollo,€,"Calle De Francos Rodríguez, 42,  Madrid",Chamberí,40.45565,-3.70461
351,EL ASADOR,15,3.5,1.9,60–70,Carne,€,"Calle Castilla,4 ,  Madrid",Chamberí,40.45286,-3.70425
