,Restaurante,Valoraci√≥n,Nota,Delivery_Fee,ETA,Tag,Precio,Direcci√≥n,Barrio,lat,lon
442,EL ASADOR,15,3.5,1.9,60–70,Carne,€,"Calle Castilla,4 ,  Madrid",Chamberí,4.045.286,-370.425
443,MANKA,52,4.9,1.4,40–50,Pizza,€,"Calle Del Cardenal Cisneros 1,  Madrid",Chamberí,4.042.965,-370.165
444,Graal,15,3.5,0.9,45–55,Ramen,€€,"Av. De Brasil, 17,  Madrid",Chamberí,4.045.837,-369.289
446,Ala Sushi,15,3.5,0.9,40–50,Sushi,€,"Calle De Sta Engracia, 108,  Madrid",Chamberí,4.043.755,-370.008
447,Home Burger Bar,181,4.1,2.4,40–50,Hamburguesas,€,"Calle De Luchana 3,   Madrid",Chamberí,4.042.927,-370.135
448,Empanadas Malvón,32,4.8,0.4,30–40,Empanada,€,"Av. De Filipinas, 30,  Madrid",Chamberí,4.044.077,-370.768
450,Tiendas 7x24,62,4.5,0.4,25–35,Queso,€,"Calle De Ayala 28,   Madrid",Chamberí,4.042.774,-368.571
451,SANABRIA,15,3.5,1.4,50–60,Tapas y raciones,€,"Calle Del Espíritu Santo 16,  Madrid",Chamberí,4.042.557,-370.629
452,MY Pasta Room,59,4.6,0.9,35–45,Italiana,€,"Calle De Manuel De Falla 5,   Madrid",Chamberí,4.045.502,-368.811
454,Limbo Player Two,15,3.5,1.9,50–60,Carne,€,"Calle De José Abascal 31,  Madrid",Chamberí,4.043.856,-369.891
455,Junk Burger,31,4.3,1.9,50–60,Hamburguesas,€,"Calle De Bravo Murillo, 100,  Madrid",Chamberí,4.044.753,-370.407
456,Popeyes,200,4.2,0.9,35–45,Pollo,€€,"Calle De Bravo Murillo 122,   Madrid",Chamberí,404.491,-370.348
457,Arepish,53,4.6,0.9,40–50,Venezolana,€,"Calle De Cea Bermúdez 49,  Madrid",Chamberí,4.043.905,-370.972
459,Cerveceria Riaño,15,3.5,0.9,30–40,Cerveza,€,"Paseo De La Castellana 130,  Madrid",Chamberí,404.502,-369.019
460,Yakitoro,26,4.5,1.4,55–65,Con opciones veganas,€,"Calle De Tudescos, 4,  Madrid",Chamberí,403.747,-365.969
461,Super naan,15,3.5,1.4,60–70,India,€,"Calle Gran Vía, 16,  Madrid",Chamberí,4.041.966,-369.894
463,Steak Burger,168,4.2,1.9,50–60,Americana,€,"Calle De San Bernardino, 20,  Madrid",Chamberí,4.042.541,-371.112
464,MILA TOWN,15,3.5,0.9,35–45,Americana,€,"Calle De La Cruz, 20, Local 1,  Madrid",Chamberí,4.041.636,-37.006
465,Galipan,23,4.2,1.9,70–80,Halal,€,"Calle Gran Vía 74, Local,  Madrid",Chamberí,4.042.146,-37.075
467,Trek Taco,15,3.5,1.4,45–55,Halal,€,"Calle Del Dr Cortezo, 7,  Madrid",Chamberí,4.041.347,-370.389
468,El Turkito,200,4.1,1.9,50–60,Asiatica,€,"Calle Maldonado 07,  Madrid",Chamberí,4.043.367,-368.057
469,Artisan Burger,15,3.5,0.9,45–55,Hamburguesas,€,"Calle De Velázquez, 118,  Madrid",Chamberí,4.043.525,-368.349
470,Makan Saj Manoushe,200,4.9,1.4,30–40,India,€€,"Calle De Azcona 36,   Madrid",Chamberí,4.038.927,-37.415
472,Arepish,186,4.6,2.4,35–45,Venezolana,€€€,"Calle De Los Donados 2,   Madrid",Chamberí,4.041.799,-370.834
473,Cor & Cor,15,3.5,1.4,55–65,Postres,€,"Calle De Galileo, 75,   Madrid",Chamberí,4.043.769,-371.015
474,Tosty,15,3.5,0.4,40–50,Pollo,€,"Calle De San Germán, 64,  Madrid",Chamberí,4.045.729,-370.018
476,Fast chicken chain,15,3.5,1.9,45–55,Pollo,€,"Calle De José Calvo 6,  Madrid",Chamberí,4.045.883,-370.845
477,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle Bravo Murillo 108,  Madrid",Moncloa-Aravaca,4.046.448,-369.484
478,Taco Bell,200,4.3,0.9,30–40,Hamburguesas,€,"Calle De Embajadores, 13,  Madrid",Moncloa-Aravaca,4.040.069,-369.925
480,TUTTO PASTA!,26,2.8,2.6,40–60,Española,€,"Calle De José Calvo 10,   Madrid",Moncloa-Aravaca,4.045.883,-370.845
481,Comida de Pueblo,15,3.5,1.9,35–45,Gourmet,€,"Calle De Isaac Peral, 4,  Madrid",Moncloa-Aravaca,4.043.515,-371.802
482,Pizzart Luchana,15,3.5,0.4,35–45,Pizza,€,"Calle De Isaac Peral 4,  Madrid",Moncloa-Aravaca,4.043.515,-371.802
483,Taco Bell,200,4.1,2.4,35–45,Hamburguesas,€,"Hilarion Eslava 42,   Madrid",Moncloa-Aravaca,4.043.649,-371.684
485,CONVEXO,69,4.6,2.9,35–45,Pollo,€€€,"Calle De Bravo Murillo 199,   Madrid",Moncloa-Aravaca,4.045.622,-370.204
486,Pollos al Carbón,21,3.6,5.0,15–35,Pollo,€€,"Calle De Bravo Murillo, 113,  Madrid",Moncloa-Aravaca,4.044.805,-370.399
487,Little Caesars Pizza,200,4.6,3.0,5–25,Pizza,€,"Calle De Francos Rodríguez, 42,   Madrid",Moncloa-Aravaca,4.045.552,-370.451
489,EL ASADOR,15,3.5,2.9,60–70,Carne,€,"Calle Castilla,4   Madrid",Moncloa-Aravaca,4.045.286,-370.425
490,MANKA,52,4.9,2.9,55–65,Pizza,€,"Calle De Galería De Vallehermoso 4,  Madrid",Moncloa-Aravaca,4.043.946,-370.777
491,Real Fried Chicken,15,4.3,2.9,45–55,Alitas de pollo,€,"Calle De La Infanta Mercedes 17,  Madrid",Moncloa-Aravaca,4.045.303,-369.951
493,Toro Burger Lounge,23,4.1,2.9,60–70,De Latinoamérica,€€,"Calle De Huesca, 19,  Madrid",Moncloa-Aravaca,4.045.804,-369.889
494,La cabaña de cris,15,3.5,3.4,55–65,Pollo,€,"Calle Andrés Mellado 43,  Madrid",Moncloa-Aravaca,4.044.112,-371.427
495,La Bruja del Vesuvio,15,3.5,2.9,45–55,Comida rápida,€€,"Calle De Bravo Murillo 122,   Madrid",Moncloa-Aravaca,404.491,-370.348
496,Arepish,53,4.6,2.9,50–60,Venezolana,€,"Calle De Bravo Murillo, 100,  Madrid",Moncloa-Aravaca,4.044.753,-370.407
498,Popeyes,200,4.2,2.9,40–50,Pollo,€,"Calle De Cea Bermúdez 49,  Madrid",Moncloa-Aravaca,4.043.905,-370.972
499,Cerveceria Riaño,15,3.5,2.9,40–50,Cerveza,€,"Calle De San Germán, 64,  Madrid",Moncloa-Aravaca,4.045.729,-370.018
500,Fast chicken chain,15,3.5,2.9,50–60,Pollo,€,"Calle De Sta Engracia, 108,  Madrid",Moncloa-Aravaca,4.043.755,-370.008
502,Home Burger Bar,181,4.1,3.4,45–55,Hamburguesas,€,"Calle Hilarión Eslava, 38,  Madrid",Moncloa-Aravaca,4.043.623,-371.605
503,Empanadas Malvón,21,4.7,2.4,30–40,Empanada,€,"Calle De Galileo, 75,  Madrid",Moncloa-Aravaca,4.043.769,-371.015
504,Tosty,15,3.5,2.9,45–55,Opciones para alergias,€,"Calle Ferraz 43,   Madrid",Moncloa-Aravaca,404.298,-372.104
506,Red Roo Australian Restaurant,15,3.5,2.9,45–55,Opciones para alergias,€,"Calle De Lérida 58,   Madrid",Moncloa-Aravaca,4.045.625,-370.013
507,Polloco Gourmet,26,3.5,3.0,30–50,Pollo,€,"Bravo Murillo, 120,   Madrid",Moncloa-Aravaca,4.044.861,-37.035
508,Pomodoro,87,3.8,2.9,50–60,Italiana,€,"Av. De Filipinas, 30,  Madrid",Moncloa-Aravaca,4.044.077,-370.768
509,Tiendas 7x24,62,4.5,2.9,30–40,Family Meals,€,"Calle De Barceló 6, 318,   Madrid",Moncloa-Aravaca,4.042.659,-370.073
511,Mad Pollo,45,4.0,2.9,15–35,Pollo,€,"Calle De Raimundo Fernández Villaverde 33,   Madrid",Moncloa-Aravaca,4.044.705,-370.016
512,El trébol empanadas,16,4.5,2.9,45–55,Comida rápida,€,"Calle De San Andrés, 31,  Madrid",Moncloa-Aravaca,4.042.842,-370.346
513,Pic & Nic,200,4.4,3.4,55–65,Mediterránea,€€,"Paseo De S. Fco. De Sales, 3,  Madrid",Moncloa-Aravaca,40.44,-371.705
515,Taste of America,26,3.5,2.4,35–45,Americana,€€,"Calle De Bravo Murillo, 34,  Madrid",Moncloa-Aravaca,4.043.741,-370.402
516,Astros,26,3.0,2.9,45–55,Family Meals,€,"Calle De Guzmán El Bueno, 73,  Madrid",Moncloa-Aravaca,4.043.671,-371.355
517,Aloha Poke,200,4.7,2.9,25–35,Poke,€,"Calle De Fernández De Los Ríos, 98,  Madrid",Moncloa-Aravaca,4.043.514,-37.113
519,Doner kebap efes,30,3.8,2.9,35–45,Kebab,€,"C. De La Princesa, 40,  Madrid",Moncloa-Aravaca,4.042.891,-37.155
520,Starbucks,63,4.3,3.4,35–45,Cafe,€,"Paseo De S. Fco. De Sales, 17,  Madrid",Moncloa-Aravaca,4.044.103,-371.533
521,Cherry Pecas,92,4.4,2.4,30–40,Comida rápida,€,"Calle De Vallehermoso, 42,  Madrid",Moncloa-Aravaca,40.435,-370.846
522,Basically Just Burrito Bowls,26,3.0,2.9,45–55,Bar Food,€,"Calle Bravo Murillo 218,   Madrid",Moncloa-Aravaca,4.046.448,-369.484
524,Sultán kebab,19,3.0,2.9,35–45,Árabe,€€,"Calle De Bravo Murillo, 215,  Madrid",Moncloa-Aravaca,4.045.761,-370.118
525,Great Kebab,26,3.0,2.9,40–50,Kebab,€,"Calle De Bravo Murillo 193,  Madrid",Moncloa-Aravaca,4.045.457,-370.302
526,"Real Estambul Pizza, Doner y Kebab",15,3.4,2.9,45–55,Mediterránea,€,"Calle De José Calvo 10,   Madrid",Moncloa-Aravaca,4.045.883,-370.845
528,Pops ´n Bops,26,3.0,2.4,50–60,China,€,"Calle Federico Sainz De Robles 3,  Madrid",Moncloa-Aravaca,4.039.652,-36.694
529,Oriental Palace,167,4.4,2.9,45–55,Asiatica,€,"Calle De Galileo 40,   Madrid",Moncloa-Aravaca,404.335,-371.021
530,Shawarma palace,15,3.5,2.4,50–60,Americana,€,"Plaza Del Descubridor Diego De Ordás, 4,  Madrid",Moncloa-Aravaca,4.044.117,-370.029
532,Jimbo Smokehouse,68,4.7,2.9,45–55,Napolitana,€,"Calle Jose Calvo 10,   Madrid",Moncloa-Aravaca,4.042.338,-366.482
533,Napoli Gang by Bel Mondo,26,3.0,2.4,50–60,Pizza,€,"Calle Rodríguez San Pedro 44,   Madrid",Moncloa-Aravaca,4.043.178,-371.615
534,Soda Bar,26,3.0,2.9,45–55,Comida rápida,€,"C. Del Dr. Ramón Castroviejo, 59,  Madrid",Moncloa-Aravaca,4.042.438,-356.158
535,Danny’s Jazz,11,4.7,2.4,50–60,Española,€,"Calle Del Aviador Zorita 32,   Madrid",Moncloa-Aravaca,4.045.015,-369.819
537,Ferreiro,26,3.0,3.4,35–45,Postres,€,"Calle De Almansa 41,   Madrid",Moncloa-Aravaca,4.044.867,-37.046
538,TeKeS,78,4.8,2.4,30–40,Opciones para alergias,€€€,"Calle De Cándido Mateos 21,   Madrid",Moncloa-Aravaca,404.741,-371.882
539,Toropikaru Sushi,26,3.0,3.4,35–45,Comfort Food,€,"Calle Sorgo 53, Nave 2,   Madrid",Moncloa-Aravaca,404.683,-370.615
541,NUBO Rolls,15,4.3,3.4,35–45,Comida rápida,€,"Calle De Santa Engracia 108,   Madrid",Moncloa-Aravaca,4.043.918,-370.038
542,DITALY,26,3.0,2.4,30–40,Empanada,€,"Calle De Fernández De Los Ríos 85,   Madrid",Moncloa-Aravaca,4.043.514,-37.113
543,Empanadas BAIRES,26,3.0,3.4,35–45,Empanada,€,"Calle De Ofelia Nieto, 42,  Madrid",Moncloa-Aravaca,4.045.979,-371.009
545,Massburg,194,4.4,2.4,30–40,Opciones para alergias,€,"Zabaleta 1,   Madrid",Moncloa-Aravaca,4.044.065,-367.537
546,Nola Smoke,199,4.2,1.0,15–35,Comida rápida,€,"Calle De José Calvo 6,  Madrid",Moncloa-Aravaca,4.045.883,-370.845
547,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle De José Calvo 10,  Madrid",Carabanchel,4.045.883,-370.845
548,Comida de Pueblo,26,3.0,2.4,35–45,Gourmet,€,"Avenida De La Reina Victoria 68,  Madrid",Carabanchel,4.044.667,-371.199
550,Papa John's,200,4.4,1.9,35–45,Pizza,€,"Calle Araucaria 19,   Madrid",Carabanchel,4.046.046,-370.001
551,Roost Chicken,123,4.6,2.9,40–50,Pollo,€,"Calle De Isaac Peral 4,  Madrid",Carabanchel,4.043.515,-371.802
552,McDonald's,200,4.4,2.9,30–40,Hamburguesas,€,"Calle De Isaac Peral 4,  Madrid",Carabanchel,4.043.515,-371.802
554,Taco Bell,200,4.1,2.4,35–45,Hamburguesas,€,"Hilarion Eslava 42,   Madrid",Carabanchel,4.043.649,-371.684
555,CONVEXO,69,4.6,2.9,35–45,Pollo,€€€,"Calle De Bravo Murillo 199,   Madrid",Carabanchel,4.045.622,-370.204
556,Pollos al Carbón,21,3.6,5.0,15–35,Pollo,€€,"Calle De Bravo Murillo, 113,  Madrid",Carabanchel,4.044.805,-370.399
558,Little Caesars Pizza,200,4.6,3.0,5–25,Pizza,€,"Calle De Francos Rodríguez, 42,  Madrid",Carabanchel,4.045.565,-370.461
559,McDonald's,200,4.3,1.9,15–25,Hamburguesas,€,"Paseo De Santa María De La Cabeza, 86,  Madrid",Carabanchel,4.039.875,-370.153
560,Beiben,14,4.2,2.4,30–40,Tapas,€,"Calle De Mira El Sol 23,  Madrid",Carabanchel,4.040.727,-370.623
561,La Cochinita Loca,19,4.3,2.4,45–55,Colombiana,€,"Calle De Guetaria 72,   Madrid",Carabanchel,4.036.655,-371.523
563,Pasta con todo 🍝,26,3.0,2.4,45–55,Italiana,€,"Calle Fragata, 11,   Madrid",Carabanchel,4.039.365,-373.426
564,Latin kebab,25,4.0,1.4,30–40,Kebab,€,"Calle Arechavaleta 6,   Madrid",Carabanchel,4.040.605,-370.752
565,Pura Italia,109,3.2,1.9,35–55,Italiana,€,"Calle De Antonio López 109,   Madrid",Carabanchel,4.038.678,-369.811
567,Pollo Criollo,26,3.0,2.4,50–60,Pollo,€,"Calle De Juan Pascual De Mena 7,  Madrid",Carabanchel,4.040.765,-373.979
568,Maha Kebab,11,4.3,2.4,20–30,Kebab,€,"Plaza De La Cebada, 10,  Madrid",Carabanchel,4.041.156,-371.008
569,Taberna La Buha,24,4.2,2.4,60–70,Tapas,€,"Calle Mirasierra, 37,  Madrid",Carabanchel,4.038.842,-370.369
571,Pizza Mirasierra,17,4.2,2.4,30–40,Pizza,€,"Calle De San Andrés, 31,  Madrid",Carabanchel,4.042.842,-370.346
572,Pic & Nic,200,4.4,3.9,60–70,Mediterránea,€,"Calle De Marcelo Usera 135,   Madrid",Carabanchel,4.038.506,-371.269
573,Pizz-a-porter,26,3.0,1.9,30–40,Pizza,€,"Calle De Don Pedro 11,  Madrid",Carabanchel,4.041.164,-371.275
574,Tabaxo - Don Pedro,26,3.0,2.4,50–60,Sándwich,€,"Paseo De Los Pontones, 24,  Madrid",Carabanchel,4.040.543,-371.415
576,Taberna Piedra Pinta,26,3.0,1.9,45–55,Halal,€,"Calle Vía Carpetana, 226,  Madrid",Carabanchel,4.039.258,-374.124
577,Dinos Bar Kebab,26,3.0,2.5,40–60,Kebab,€,"Av. Oporto, 89,  Madrid",Carabanchel,4.038.804,-373.205
578,Gran Oporto Kebab,29,3.7,1.4,25–35,Kebab,€,"Glorieta De Embajadores 4,  Madrid",Carabanchel,404.045,-370.245
580,GALAXY KEBAB,17,4.5,2.9,30–40,Kebab,€,"Calle Vía Carpetana 81,   Madrid",Carabanchel,4.039.832,-373.469
581,Bar y Kebab La Parada,23,3.0,1.4,15–25,Kebab,€,"Calle De Embajadores, 28,  Madrid",Carabanchel,4.040.069,-369.925
582,Éccolo,28,4.2,2.4,50–60,Tapas y raciones,€,"Calle De La Ruda, 5,  Madrid",Carabanchel,4.041.032,-370.764
584,Malacatin,19,4.9,1.9,45–55,Pizza,€,"Calle De Melilla, 47,  Madrid",Carabanchel,4.040.113,-370.969
585,Le Crust,25,4.4,2.5,40–60,Hamburguesas,€,"Paseo De Los Melancólicos 7,   Madrid",Carabanchel,4.040.481,-372.076
586,Toro Burger Lounge,27,4.1,1.4,25–35,Comida reconfortante,€,"Plaza De Cascorro, 16,   Madrid",Carabanchel,4.041.025,-370.746
587,Cor & Cor,11,4.3,2.9,30–40,Postres,€,"Calle Campo De La Paloma 32,   Madrid",Carabanchel,4.038.336,-36.475
589,Arepa Mix,38,3.9,1.4,15–25,Venezolana,€€,"Calle De Ferroviarios 98,   Madrid",Carabanchel,4.038.196,-370.452
590,Bocadillos Ole,23,3.0,2.4,60–70,Bocadillo,€,"Calle De Dolores Barranco, 88,  Madrid",Carabanchel,403.833,-370.616
591,IGo Pasta,89,4.5,2.4,30–40,Italiana,€,"Calle De Santa Isabel, 5,  Madrid",Carabanchel,4.041.136,-36.987
593,Yokaloka,23,3.6,3.9,60–70,Comfort Food,€,"Calle De Jaime Vera 12,   Madrid",Carabanchel,4.041.214,-372.872
594,Burger Las Vegas,23,3.6,1.9,30–40,Hamburguesas,€€,"Calle De Antonio López 109,   Madrid",Carabanchel,4.038.678,-369.811
595,Alice Pizza,23,3.6,2.4,50–60,Pizza,€,"Calle De Cáceres 5,  Madrid",Carabanchel,4.039.854,-369.618
597,Herbívoro,23,3.6,1.9,45–55,Parrilla,€,"Paseo De Los Melancolicos 7,   Madrid",Carabanchel,4.040.481,-372.076
598,La Manousheria,23,3.6,2.5,40–60,Postres,€,"Calle De Los Yébenes 150,   Madrid",Carabanchel,4.038.979,-375.197
599,Popizza,23,3.6,0.9,30–40,Pollo,€,"Calle De Marcelo Usera 12,   Madrid",Carabanchel,4.038.728,-370.066
600,Papa John's,200,4.3,0.9,30–40,Pizza,€,"Calle De Embajadores, 14 ,   Madrid",Usera,4.040.069,-369.925
602,TUTTO PASTA!,26,2.8,2.5,40–60,Comida rápida,€,"Calle De Matilde Hernández 90,  Madrid",Usera,403.908,-373.382
603,Restaurante Sabor K-Tracho,23,3.6,1.4,35–45,Alcohol,€,"Calle Del Gral. Ricardos, 92,   Madrid",Usera,4.039.347,-372.325
604,Autoservicio,77,4.8,0.9,15–25,Tienda,€,"Av. Del Manzanares, 210,  Madrid",Usera,4.039.021,-370.016
606,Little Caesars Pizza,200,4.6,1.4,40–50,Pizza,€,"Calle De Cáceres 1,   Madrid",Usera,4.039.854,-369.618
607,Comida china yonghe,50,4.3,2.4,40–50,China,€€€,"Calle De La Alianza 33,   Madrid",Usera,4.035.775,-368.689
608,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Paseo Del Doctor Vallejo Nágera, 25,  Madrid",Usera,4.040.163,-370.811
610,Papa John's,200,4.3,2.4,30–40,Pizza,€,"Avenida De Oporto 14,  Madrid",Usera,4.038.512,-372.238
611,TROPICALISSIMA,84,4.4,1.4,30–40,Alcohol,€€€,"Calle Azabache, 6,  Madrid",Usera,4.039.215,-372.487
612,Super Dog,25,3.7,1.4,30–50,Hamburguesas,€,"Calle Del Gral. Ricardos, 92,   Madrid",Usera,4.039.347,-372.325
613,Autoservicio,77,4.8,2.4,30–40,Tienda,€,"Avenida De Orovilla 46,  Madrid",Usera,4.036.029,-368.992
615,Pollo Rico Al carbón,68,4.5,0.9,40–50,Pollo,€,"Calle Cáceres, 34,  Madrid",Usera,4.039.879,-36.959
616,Ristorante Pizzería Dante,61,4.1,2.4,45–55,Pizza,€,"Calle De Moncada 122,   Madrid",Usera,4.034.096,-369.201
617,Pollos a la brasa el Corral,31,4.6,3.0,30–50,Pollo,€,"Paseo De Santa María De La Cabeza, 86,  Madrid",Usera,4.039.875,-370.153
619,Beiben,14,4.2,1.9,30–40,Tapas,€,"Calle De Guetaria 72,   Madrid",Usera,4.036.655,-371.523
620,Pasta con todo 🍝,23,3.6,1.4,40–50,Italiana,€,"Calle De Antonio López 109,   Madrid",Usera,4.038.678,-369.811
621,Pollo Criollo,23,3.6,1.4,45–55,Pollo,€,"Av. De Andalucía, 19,  Madrid",Usera,4.036.621,-369.375
623,McDonald's,200,4.1,1.9,20–30,Hamburguesas,€,"Calle De La Antracita 12,   Madrid",Usera,4.039.295,-368.724
624,Empanadas Malvón,31,5.0,1.9,35–45,Empanada,€,"Calle Mirasierra, 37,  Madrid",Usera,4.038.842,-370.369
625,Pizza Mirasierra,17,4.2,1.4,20–30,Pizza,€,"Calle Arechavaleta 6,   Madrid",Usera,4.040.605,-370.752
626,Pura Italia,109,3.2,1.9,35–55,Italiana,€,"Travesía Arechavaleta 4,   Madrid",Usera,4.039.818,-362.207
628,"Aqua, Farina e Forno",17,2.9,1.9,10–30,Pasta,€,"Calle Ariel,15,   Madrid",Usera,4.041.056,-371.352
629,El Buen Gusto,17,4.5,2.4,50–60,Bar Food,€,"Calle De Marcelo Usera 135,   Madrid",Usera,4.038.506,-371.269
630,Pizz-a-porter,23,3.6,0.9,25–35,Pizza,€,"Calle De Palos De La Frontera 38,   Madrid",Usera,4.040.302,-369.613
632,La Pizza é Bella,12,4.5,2.9,40–50,Pizza,€,"Paseo Del Molino, 1,  Madrid",Usera,4.038.987,-369.263
633,Kebab Nemrut,81,4.3,1.9,25–35,Kebab,€,"Calle Vía Carpetana, 226,  Madrid",Usera,4.039.258,-374.124
634,Dinos Bar Kebab,23,3.6,2.5,40–60,Kebab,€,"Glorieta De Embajadores 4,  Madrid",Usera,404.045,-370.245
636,GALAXY KEBAB,17,4.5,2.9,30–40,Kebab,€,"Av. Oporto, 89,  Madrid",Usera,4.038.804,-373.205
637,Gran Oporto Kebab,29,3.7,2.9,35–45,Kebab,€€,"Calle De José Antonio De Armona 12,   Madrid",Usera,4.040.524,-369.753
638,Ramen Kagura,23,3.6,1.4,45–55,Comida reconfortante,€,"Calle De Tarragona 36,   Madrid",Usera,4.040.159,-36.962
639,RAVIOLUZIONE,40,4.2,1.9,20–30,Pizza,€,"Calle De Melilla, 47,  Madrid",Usera,4.040.113,-370.969
641,Le Crust,25,4.4,1.9,35–45,Hamburguesas,€,"Calle Campo De La Paloma 32,   Madrid",Usera,4.038.336,-36.475
642,Arepa Mix,38,3.9,1.4,20–30,Venezolana,€,"Centro Comercial Plaza Rio 2,  Madrid",Usera,4.039.114,-370.225
643,Llaollao,39,4.4,1.9,35–55,Gourmet,€€,"Calle De Ferroviarios 98,   Madrid",Usera,4.038.196,-370.452
645,Bocadillos Ole,23,3.6,1.9,10–30,Bocadillo,€,"Calle De Dolores Barranco, 88,  Madrid",Usera,403.833,-370.616
646,IGo Pasta,89,4.5,2.4,50–60,Italiana,€,"Calle De Santa Isabel, 5,  Madrid",Usera,4.041.136,-36.987
647,Yokaloka,23,3.6,0.9,25–35,Tapas y raciones,€,"Calle De La Antracita, 10,  Madrid",Usera,4.039.007,-368.986
649,Cantina Canalla,24,4.2,2.9,40–50,De Latinoamérica,€,"Paseo De Santa María De La Cabeza, 60,  Madrid",Usera,404.024,-369.775
650,Órale burrito,23,3.6,1.9,25–35,Burritos,€€,"Calle De Antonio López 109,   Madrid",Usera,4.038.678,-369.811
651,Alice Pizza,23,3.6,2.5,40–60,Pizza,€,"Calle De Méndez Álvaro 77,   Madrid",Usera,4.039.602,-368.112
652,Tasty Poke,178,4.6,2.9,30–40,Poke,€,"Calle De Cáceres 5,  Madrid",Usera,4.039.854,-369.618
654,Herbívoro,23,3.6,1.4,45–55,Parrilla,€,"Calle De Lillo 1,   Madrid",Usera,4.036.299,-369.517
655,Abaco Taberna,23,3.6,1.9,20–30,Con opciones veganas,€,"Calle Del Áncora 26,   Madrid",Usera,4.040.308,-369.166
656,Sésamo,23,3.6,1.9,35–45,Pollo,€,"Calle De Marcelo Usera 12,   Madrid",Usera,4.038.728,-370.066
658,"Asador de pollos ""LA WISLLA""",23,3.6,1.4,20–30,Carne,€,"Calle De Cardeñosa 42,  Madrid",Usera,4.038.282,-367.238
