,Restaurante,Valoraci√≥n,Nota,Delivery_Fee,ETA,Tag,Precio,Direcci√≥n,Barrio,lat,lon
659,Mac2Pic2,23,3.6,1.9,35–55,Boliviana,€,"Marcelo Usera 12,  Madrid",Usera,4.038.765,-370.046
660,Asador de Pollos,23,3.6,1.9,10–30,Pollo,€,"Calle Alférez Juan Usera, 34,   Madrid",Usera,4.039.572,-373.066
662,Cheff oriental,23,3.6,2.4,50–60,Asiatica,€,"Paseo De Santa María De La Cabeza 32,   Madrid",Usera,404.031,-369.709
663,Kaleka Poke,23,3.6,0.9,25–35,Kebab,€,"Paseo Molino, 7,  Madrid",Usera,4.039.012,-369.287
664,Pizzeria Roberto,33,4.2,2.9,40–50,Pizza,€,"Calle De José Antonio De Armona 7,   Madrid",Usera,4.040.455,-36.965
665,Pui's Thai tapas,43,4.6,1.9,25–35,Comida rápida,€,"Calle Sallaberry, 101,  Madrid",Usera,4.039.279,-372.049
667,Comida China Feliz,200,4.4,2.5,40–60,China,€,"Avenida De Palomeras 150 ,  Madrid",Usera,4.038.564,-364.871
668,Merecumbe,100,4.3,2.9,30–40,Venezolana,€,"Calle De Embajadores, 12 ,   Madrid",Usera,4.040.069,-369.925
669,TUTTO PASTA!,26,2.8,2.9,35–45,Alcohol,€,"Avenida De Rafaela Ybarra 37,   Madrid",Puente de Vallecas,4.036.433,-371.421
671,Perla del Pacifico,66,4.1,0.9,30–40,Mediterránea,€,"Calle De Matilde Hernández 90,  Madrid",Puente de Vallecas,403.908,-373.382
672,Restaurante Sabor K-Tracho,23,3.6,2.4,40–50,Pollo,€,"Av. De La Albufera, 91,  Madrid",Puente de Vallecas,403.944,-366.152
673,Precio Calidad y sabor,17,4.4,2.0,40–60,Bar Food,€€€,"Calle De La Alianza 33,   Madrid",Puente de Vallecas,4.035.775,-368.689
675,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Felipe Fraile 5,   Madrid",Puente de Vallecas,403.971,-366.602
676,On Rush,14,4.8,1.4,40–50,Burritos,€€€,"Calle Azabache, 6,  Madrid",Puente de Vallecas,4.039.215,-372.487
677,Super Dog,25,3.7,2.49,30–50,Hamburguesas,€,"Calle Del Pico De La Maliciosa 6,   Madrid",Puente de Vallecas,4.045.069,-367.173
678,Bur Burger,50,4.4,2.49,50–70,Hamburguesas,€,"Avenida De La Albufera, 40,   Madrid",Puente de Vallecas,4.039.682,-366.662
680,El Sabroso Albufera,30,3.9,1.4,20–30,Comida rápida,€,"Calle Monederos 12,   Madrid",Puente de Vallecas,4.038.776,-370.159
681,Precio Calidad y sabor,17,4.4,2.0,40–60,Bar Food,€,"Avenida De La Albufera 119,   Madrid",Puente de Vallecas,4.039.331,-365.945
682,Kebab Rayo,117,3.8,0.9,25–35,Kebab,€,"Calle De Moncada 122,   Madrid",Puente de Vallecas,4.034.096,-369.201
684,Pollos a la brasa el Corral,31,4.6,3.0,30–50,Pollo,€,"Av. Pablo Neruda, 91,  Madrid",Puente de Vallecas,4.038.117,-366.242
685,McDonald's,200,4.1,0.9,15–25,Hamburguesas,€,"Av. De La Albufera, 20,  Madrid",Puente de Vallecas,4.039.744,-36.679
686,Popeyes,187,4.1,1.99,20–40,Pollo,€,"Calle De La Antracita 12,   Madrid",Puente de Vallecas,4.039.295,-368.724
688,Empanadas Malvón,31,5.0,2.4,40–50,Empanada,€€,"Calle Del Puerto De Balbarán 31,   Madrid",Puente de Vallecas,4.037.649,-365.629
689,Kebab Entrevias,43,4.5,1.4,25–35,Kebab,€,"Calle Arechavaleta 6,   Madrid",Puente de Vallecas,4.040.605,-370.752
690,Pura Italia,109,3.2,1.9,35–55,Italiana,€,"Calle Ariel,15,   Madrid",Puente de Vallecas,4.041.056,-371.352
691,El Buen Gusto,17,4.5,1.9,45–55,Bar Food,€,"Calle De Benjamín Palencia, 32,   Madrid",Puente de Vallecas,4.039.471,-364.814
693,Poke Ukelele,68,4.2,1.9,45–65,Poke,€,"Av. Del Mediterráneo, 30,  Madrid",Puente de Vallecas,4.040.675,-367.267
694,Mahalo Poke,23,3.6,2.5,30–50,Poke,€€,"Calle Del Camino De Los Vinateros, 22,  Madrid",Puente de Vallecas,4.041.043,-365.788
695,Ankara Doner Kebab,38,4.3,2.4,40–50,Kebab,€,"Av. De Entrevías, 58,  Madrid",Puente de Vallecas,4.037.636,-366.082
697,Shaurma House,26,4.3,1.9,20–30,Pollo,€,"Avenida Del Monte Igueldo 36,   Madrid",Puente de Vallecas,4.039.586,-366.853
698,Istanbul Kebab Madrid,23,3.6,1.4,30–40,Asiática,€,"Av Del Monte Igueldo, 36,  Madrid",Puente de Vallecas,4.039.618,-366.823
699,Kebab Vallecano,12,4.0,1.4,30–40,Kebab,€,"Calle De Benadalid 6,   Madrid",Puente de Vallecas,4.038.604,-363.886
701,Star Kebab Pollo Asado,14,4.1,2.4,35–45,Pollo,€€,"Calle De Peña De La Atalaya, 86,  Madrid",Puente de Vallecas,4.038.579,-366.726
702,Pizzamarket,30,4.8,1.9,20–30,Pizza,€€,"Av. Del Mediterráneo, 21,  Madrid",Puente de Vallecas,4.040.675,-367.267
703,Twin Pizza Mediterráneo,17,4.2,1.9,20–30,China,€,"Avenida Pablo Neruda 108,   Madrid",Puente de Vallecas,4.038.315,-364.917
704,Panda Sushi,133,4.4,1.9,20–30,Saludable,€€,"Calle De Arias Montano, 42,  Madrid",Puente de Vallecas,4.040.985,-367.173
706,Acqua in Bocca,36,4.3,1.9,20–30,Opciones para alergias,€,"Calle Campo De La Paloma 32,   Madrid",Puente de Vallecas,4.038.336,-36.475
707,Arepa Mix,38,3.9,1.9,20–30,Venezolana,€,"Calle Felipe Fraile 5,   Madrid",Puente de Vallecas,403.971,-366.602
708,THE SCHNITZEL BOSS,23,3.6,1.9,20–30,Sudamericana,€,"Calle Del Pico De La Maliciosa 6,   Madrid",Puente de Vallecas,4.045.069,-367.173
710,Frida Burritos,47,4.5,1.9,20–30,Burritos,€€,"Calle De Ferroviarios 98,   Madrid",Puente de Vallecas,4.038.196,-370.452
711,Bocadillos Ole,23,3.6,1.9,20–30,Bocadillo,€,"Calle Felipe Fraile 5,   Madrid",Puente de Vallecas,403.971,-366.602
712,Ceviches Marakaza,23,3.6,1.4,30–40,Peruana,€,"Avenida Pablo Neruda, 96 ,  Madrid",Puente de Vallecas,4.038.315,-364.917
714,Burger Town,23,3.6,1.4,30–40,Hamburguesas,€,"Calle Del Puerto Canfranc, 42,  Madrid",Puente de Vallecas,365.939,-6.233
715,Comida Fusión,19,3.7,1.4,30–40,Fusión latina,€,"Avenida De Peña Prieta 22,   Madrid",Puente de Vallecas,4.040.044,-366.657
716,SUKAO FOOD FUSION,60,3.6,1.4,30–40,Japonesa,€,"Calle De Santa Isabel, 5,  Madrid",Puente de Vallecas,4.041.136,-36.987
717,Yokaloka,60,3.6,1.4,30–40,Tapas y raciones,€,"Calle De La Antracita, 10,  Madrid",Puente de Vallecas,4.038.927,-37.415
719,Cantina Canalla,24,4.2,1.4,30–40,De Latinoamérica,€,"Calle De La Cruz Del Sur 5,   Madrid",Puente de Vallecas,4.041.625,-370.064
720,BURRITOS & TACOS,86,3.5,1.4,25–35,Burritos,€,"Avenida Peña Prieta 50,   Madrid",Puente de Vallecas,4.040.139,-36.655
721,Asador Delicasa,14,4.0,1.4,25–35,Carne,€,"Calle De Gutenberg 3,  Madrid",Puente de Vallecas,4.040.491,-368.175
723,Waiwai Fusion Poke Atocha,32,4.7,1.4,25–35,Alcohol,€,"Calle De Méndez Álvaro 77,   Madrid",Puente de Vallecas,4.039.602,-368.112
724,Tasty Poke,178,4.6,1.4,25–35,Poke,€,"Av. Pablo Neruda, 91,  Madrid",Puente de Vallecas,4.038.117,-366.242
725,Don Tortilla,24,4.1,1.4,25–35,Saludable,€,"Calle De Cáceres 5,  Madrid",Puente de Vallecas,4.039.854,-369.618
727,Herbívoro,60,3.8,1.4,25–35,Parrilla,€,"Avenida De Buenos Aires 63,   Madrid",Puente de Vallecas,4.038.641,-365.337
728,Kebab Turca,60,3.8,1.4,25–35,Kebab,€,"Calle De Cardeñosa 42,  Madrid",Puente de Vallecas,4.038.282,-367.238
729,Mac2Pic2,60,3.8,1.4,25–35,Boliviana,€,"Av. De La Albufera, 226,  Madrid",Puente de Vallecas,4.039.097,-364.937
730,Ateshgah Albufera,60,3.8,1.4,25–35,Fritura,€,"Avenida Pablo Neruda, 96 ,  Madrid",Puente de Vallecas,4.038.315,-364.917
732,Superbestia,60,3.8,1.4,25–35,Pizza,€,"Paseo Molino, 7,  Madrid",Puente de Vallecas,4.039.012,-369.287
733,Pizzeria Roberto,33,4.2,1.4,25–35,Pizza,€,"Avenida De Palomeras 150 ,  Madrid",Puente de Vallecas,4.038.564,-364.871
734,Merecumbe,100,4.3,1.4,25–35,Venezolana,€€,"Calle De Ferroviarios 98,   Madrid",Puente de Vallecas,4.038.196,-370.452
736,Mr Patata,60,3.8,1.4,25–35,Pollo,€,"Calle De Lituania 6,   Madrid",Puente de Vallecas,4.040.931,-366.156
737,Dragón,60,3.8,1.4,25–35,Pizza,€,"Calle De Embajadores, 12 ,   Madrid",Puente de Vallecas,4.040.069,-369.925
738,TUTTO PASTA!,26,2.8,2.6,40–60,Comida rápida,€,"Av. De La Albufera, 226,  Madrid",Moratalaz,4.039.097,-364.937
740,Papa John's,200,4.4,1.4,25–35,Pizza,€,"Calle Del Pico De La Maliciosa 6,   Madrid",Moratalaz,4.045.069,-367.173
741,Streat Lab,50,4.6,2.49,50–70,Pollo,€,"Av. De La Albufera, 91,  Madrid",Moratalaz,403.944,-366.152
742,Pizz-a-porter,60,3.8,0.9,35–45,Pizza,€€€,"Calle De La Alianza 33,   Madrid",Moratalaz,4.035.775,-368.689
743,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Del Pico De La Maliciosa 6,   Madrid",Moratalaz,4.045.069,-367.173
745,Streat Lab,50,4.6,1.9,40–50,Pollo,€,"Calle Felipe Fraile 5,   Madrid",Moratalaz,403.971,-366.602
746,On Rush,14,4.8,2.4,45–55,Burritos,€,"Av. De La Albufera, 91,  Madrid",Moratalaz,403.944,-366.152
747,Pizz-a-porter,60,3.8,1.9,45–55,Pizza,€,"Calle De Berastegui 24,   Madrid",Moratalaz,4.043.013,-364.274
749,Perla del Pacifico,30,4.3,2.4,40–50,Mediterránea,€,"Avenida De La Albufera, 40,   Madrid",Moratalaz,4.039.682,-366.662
750,El Sabroso Albufera,30,3.9,2.4,25–35,Comida rápida,€,"Calle Manuel Machado, 6,  Madrid",Moratalaz,4.038.916,-366.819
751,McDonald's,200,4.2,1.9,30–40,Hamburguesas,€,"Calle Del Pico De La Maliciosa 6,   Madrid",Moratalaz,4.045.069,-367.173
753,Bur Burger,50,4.4,1.9,40–50,Hamburguesas,€€€,"Calle Azulejo 2,   Madrid",Moratalaz,4.033.274,-371.905
754,Empanadas BAIRES,60,3.8,2.9,45–55,Empanada,€,"Calle Esteban Collantes, 31,   Madrid",Moratalaz,4.043.166,-364.089
755,Croqueteria Focos,60,3.8,2.9,35–45,Croquetas,€,"Calle De Gonzalo De Berceo 63,   Madrid",Moratalaz,4.042.865,-36.399
756,Asador Perla del Pacifico Ascao,39,4.6,2.4,40–50,Carne,€,"Av. De La Albufera, 20,  Madrid",Moratalaz,4.039.744,-36.679
758,Popeyes,187,4.1,1.99,20–40,Pollo,€,"Avenida De La Albufera 119,   Madrid",Moratalaz,4.039.331,-365.945
759,Kebab Rayo,117,3.8,1.9,35–45,Kebab,€,"Paseo Del Marqués De Zafra 38,  Madrid",Moratalaz,4.042.547,-366.303
760,DIVE`S FOOD,60,3.8,2.4,45–55,Hamburguesas,€,"Calle De Julián Camarillo 47,   Madrid",Moratalaz,4.043.898,-361.628
762,Pic & Nic,200,4.5,3.4,30–40,Mediterránea,€,"Calle De Benjamín Palencia, 32,   Madrid",Moratalaz,4.039.471,-364.814
763,Poke Ukelele,68,4.2,3.4,45–65,Poke,€€€,"Av. De Moratalaz, 137,  Madrid",Moratalaz,4.040.666,-364.674
764,Kebab moratalaz,60,3.8,1.4,30–40,Kebab,€,"Av. Del Mediterráneo, 30,  Madrid",Moratalaz,4.040.675,-367.267
766,Mahalo Poke,60,3.8,2.5,30–50,Poke,€,"Av. Del Marqués De Corbera, 40,  Madrid",Moratalaz,4.042.727,-365.018
767,Bar el castaño,60,3.8,2.4,35–45,Mediterranea,€€,"Calle Del Camino De Los Vinateros, 22,  Madrid",Moratalaz,4.041.043,-365.788
768,Ankara Doner Kebab,38,4.3,1.9,30–40,Kebab,€,"Avenida Del Monte Igueldo 36,   Madrid",Moratalaz,4.039.586,-366.853
769,Istanbul Kebab Madrid,60,3.8,2.4,40–50,Kebab,€,"Calle De Benadalid 6,   Madrid",Moratalaz,4.038.604,-363.886
771,Star Kebab Pollo Asado,14,4.1,2.4,35–45,Pollo,€,"Av Del Monte Igueldo, 36,  Madrid",Moratalaz,4.039.618,-366.823
772,Kebab Vallecano,12,4.0,2.4,40–50,Kebab,€,"Calle De Ezequiel Solana, 52,  Madrid",Moratalaz,4.043.037,-364.518
773,Pizzamarket,30,4.8,2.4,40–50,Pizza,€,"Calle De Ricardo Ortiz, 20,  Madrid",Moratalaz,4.042.857,-365.826
775,Tennessee BBQ,77,4.8,2.4,40–50,Pizza,€,"Calle De Zabaleta 1,  Madrid",Moratalaz,4.044.221,-367.369
776,Napoli Gang by Bel Mondo,200,4.6,2.4,40–50,Pizza,€€,"Av. Del Mediterráneo, 21,  Madrid",Moratalaz,4.040.675,-367.267
777,Twin Pizza Mediterráneo,17,4.2,2.4,40–50,India,€€,"Calle Francisco Villaespesa, 6,  Madrid",Moratalaz,4.042.906,-36.488
779,Mother india,37,4.3,2.4,40–50,China,€,"Avenida Pablo Neruda 108,   Madrid",Moratalaz,4.038.315,-364.917
780,Panda Sushi,133,4.4,2.4,40–50,Saludable,€,"Calle Del Vizconde De Matamala 5,   Madrid",Moratalaz,4.042.639,-366.425
781,Clásico Argentino 🇦🇷,41,4.5,2.4,40–50,Empanada,€€,"Calle De Arias Montano, 42,  Madrid",Moratalaz,4.040.985,-367.173
782,Acqua in Bocca,36,4.3,2.4,40–50,Comida rápida,€,"Calle Buen Gobernador, 6,   Madrid",Moratalaz,4.043.299,-365.425
784,Happy Burger,90,4.3,2.4,40–50,Hamburguesas,€,"Calle Campo De La Paloma 32,   Madrid",Moratalaz,4.038.336,-36.475
785,Arepa Mix,38,3.9,2.4,40–50,Venezolana,€,"Calle Felipe Fraile 5,   Madrid",Moratalaz,403.971,-366.602
786,THE SCHNITZEL BOSS,60,3.8,2.4,40–50,Sudamericana,€,"Calle Del Pico De La Maliciosa 6,   Madrid",Moratalaz,4.045.069,-367.173
788,Frida Burritos,47,4.5,2.4,40–50,Burritos,€,"Calle De Gandhi 71,  Madrid",Moratalaz,404.958,-36.177
789,Veg&Bite,12,4.9,2.4,40–50,Postres,€,"Calle Felipe Fraile 5,   Madrid",Moratalaz,403.971,-366.602
790,Ceviches Marakaza,60,3.8,2.4,40–50,Peruana,€,"Calle Del Vizconde De Matamala 5,   Madrid",Moratalaz,4.042.639,-366.425
792,Sushi Not Sorry,60,3.8,2.4,40–50,Fusión asiática,€,"Calle De Maiquez 50,   Madrid",Moratalaz,4.042.273,-367.283
793,Nagasaki Sushi Retiro,60,3.8,2.4,40–50,China,€,"Calle Del Puerto Canfranc, 42,  Madrid",Moratalaz,365.939,-6.233
794,Comida Fusión,19,3.7,2.4,40–50,Fusión latina,€,"Avenida De Peña Prieta 22,   Madrid",Moratalaz,4.040.044,-366.657
795,SUKAO FOOD FUSION,60,3.8,2.5,40–60,Japonesa,€,"Zabaleta 1,   Madrid",Moratalaz,4.044.065,-367.537
797,Nola Smoke,199,4.2,2.5,40–60,Comida rápida,€,"Calle De La Cruz Del Sur 5,   Madrid",Moratalaz,4.041.625,-370.064
798,BURRITOS & TACOS,86,3.5,2.5,40–60,Burritos,€,"Avenida Peña Prieta 50,   Madrid",Moratalaz,4.040.139,-36.655
799,Asador Delicasa,14,4.0,2.5,40–60,Carne,€,"Fuente Carrantona 24,  Madrid",Moratalaz,4.040.526,-363.349
801,TGB,174,3.9,2.5,40–60,Hamburguesas,€,"Avenida Unión Europea 5,   Madrid",Moratalaz,4.040.001,-375.089
802,Ágora Torrejón,60,3.8,2.5,40–60,Fried Foods,€,"Avenida De Buenos Aires 63,   Madrid",Moratalaz,4.038.641,-365.337
803,Kebab Turca,60,3.8,2.5,40–60,Kebab,€,"Av. De La Albufera, 226,  Madrid",Moratalaz,4.039.097,-364.937
805,Ateshgah Albufera,60,3.8,2.5,40–60,Fritura,€,"Avenida Pablo Neruda, 96 ,  Madrid",Moratalaz,4.038.315,-364.917
806,Superbestia,60,3.8,2.5,40–60,Pizza,€,"Calle De Embajadores, 12 ,   Madrid",Moratalaz,4.040.069,-369.925
807,TUTTO PASTA!,26,2.8,2.5,40–60,Pizza,€,"Alcalde Luis De Marichala 3,  Madrid",Ciudad Lineal,404.361,-36.722
808,Papa John's,127,4.1,1.4,35–45,Pizza,€,"Calle Azulejo 2,   Madrid",Ciudad Lineal,4.033.274,-371.905
810,Pizzería Argentina El Trébol,60,3.8,2.9,45–55,Pizza,€€,"Calle De La Alianza 33,   Madrid",Ciudad Lineal,4.035.775,-368.689
811,Chinawokexpress,200,4.2,4.25,30–50,China,€€,"Calle Lopez de Hoyos 15,  Madrid",Ciudad Lineal,4.044.861,-366.712
812,El Burrito Borracho,60,2.7,2.9,40–50,Burritos,€,"Calle Azulejo 2,   Madrid",Ciudad Lineal,4.033.274,-371.905
814,Pizzería Argentina El Trébol,60,2.7,1.9,40–50,Pizza,€,"Calle De Berastegui 24,   Madrid",Ciudad Lineal,4.043.013,-364.274
815,Perla del Pacifico,30,4.3,1.4,35–45,Mediterránea,€€€,"Calle De La Alianza 33,   Madrid",Ciudad Lineal,4.035.775,-368.689
816,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Plaza Bami, 26,  Madrid",Ciudad Lineal,4.045.866,-364.638
818,El Burrito Borracho,60,2.7,1.4,30–40,Burritos,€,"Calle De José Ortega Y Gasset 94,  Madrid",Ciudad Lineal,4.042.986,-367.176
819,Empanadas Malvón,48,4.9,1.9,25–35,Empanada,€€€,"Calle Azulejo 2,   Madrid",Ciudad Lineal,4.033.274,-371.905
820,Empanadas BAIRES,60,2.7,1.9,40–50,Empanada,€,"López De Hoyos , 153,  Madrid",Ciudad Lineal,4.044.872,-366.864
821,Popeyes,200,4.4,1.9,35–45,Pollo,€,"Alcala 191,  Madrid",Ciudad Lineal,4.042.768,-366.996
823,Pastamore,98,4.6,2.4,30–40,Italiana,€,"Calle Esteban Collantes, 31,   Madrid",Ciudad Lineal,4.043.166,-364.089
824,Croqueteria Focos,60,2.7,1.4,25–35,Croquetas,€,"Calle Del Príncipe De Vergara, 210,  Madrid",Ciudad Lineal,4.042.562,-367.992
825,Home Burger Bar,198,4.1,2.4,35–45,Hamburguesas,€,"Calle De La Virgen De La Fuencisla, 19,   Madrid",Ciudad Lineal,4.039.654,-366.673
827,HyH Kebab Fried Chicken,23,3.6,1.0,40–60,Pollo,€,"Calle Mateo García, 13,  Madrid",Ciudad Lineal,404.316,-365.271
828,Pollos Gourmet,22,2.7,1.4,25–35,Pollo,€€,"Calle De Azcona 36,   Madrid",Ciudad Lineal,4.038.927,-37.415
829,Arepish,186,4.6,1.9,30–40,Venezolana,€,"Calle De Cronos, 6,  Madrid",Ciudad Lineal,4.043.833,-361.963
831,Ichibanya,40,4.0,1.9,40–60,Comida rápida,€,"Calle De Gonzalo De Berceo 63,   Madrid",Ciudad Lineal,4.042.865,-36.399
832,Asador Perla del Pacifico Ascao,39,4.6,1.9,30–40,Carne,€,"Calle De Julián Camarillo 47,   Madrid",Ciudad Lineal,4.043.898,-361.628
833,Pic & Nic,200,4.5,2.4,25–35,Mediterránea,€,"Paseo Del Marqués De Zafra 38,  Madrid",Ciudad Lineal,4.042.547,-366.303
834,DIVE`S FOOD,22,2.7,1.9,40–50,Hamburguesas,€,"Calle De Las Naciones 5,   Madrid",Ciudad Lineal,4.042.685,-36.736
836,PaellaGood,22,2.7,2.4,45–55,Mediterránea,€€,"Calle De Alcalá, 339,  Madrid",Ciudad Lineal,4.044.291,-361.886
837,Pa Picar,22,2.7,0.9,20–30,Mediterránea,€,"Calle Del Gral. Pardiñas, 32,  Madrid",Ciudad Lineal,4.042.651,-367.813
838,Rude Burger,36,4.8,2.9,40–50,Hamburguesas,€€,"Calle Lopez de Hoyos 15,  Madrid",Ciudad Lineal,4.044.861,-366.712
840,100 % Sano,22,2.7,2.9,35–45,Saludable,€,"Calle De San Romualdo, 22,  Madrid",Ciudad Lineal,4.043.824,-362.185
841,McDonald's,200,4.2,2.4,20–30,Hamburguesas,€,"Calle Del Marqués De Mondéjar, 4,   Madrid",Ciudad Lineal,4.042.681,-366.684
842,Thai Zafra,38,4.6,1.9,25–35,Opciones para alergias,€,"Calle De María De Molina, 44,  Madrid",Ciudad Lineal,4.043.794,-368.459
844,Flame,22,2.7,2.4,45–55,Hamburguesas,€€,"Calle Conde De Penalver 35,   Madrid",Ciudad Lineal,4.042.846,-367.524
845,Cor & Cor,35,4.3,2.4,50–60,Postres,€,"Calle De Maldonado, 51,  Madrid",Ciudad Lineal,4.043.378,-36.789
846,Tiendas 7x24,140,4.8,2.4,30–40,Fusión asiática,€,"Calle De Méjico 20,   Madrid",Ciudad Lineal,4.043.736,-367.305
847,Restaurante Chino Diamante,100,4.0,1.9,35–45,China,€,"Calle De Emilio Gastesi Fernández 12,  Madrid",Ciudad Lineal,4.043.697,-364.814
849,Tienduki,22,2.7,2.99,5–25,Comida rápida,€,"Calle Del Dr. Esquerdo, 10,  Madrid",Ciudad Lineal,4.042.661,-366.826
850,Empanadas Pampas,22,2.7,2.4,35–45,Empanada,€,"Calle Ferretería, 3,  Madrid",Ciudad Lineal,404.273,-362.271
851,Make doner,15,3.9,2.4,50–60,Sándwiches,€,"Calle Zabaleta 1,   Madrid",Ciudad Lineal,4.044.065,-367.537
853,CHUCK CHUCK CHICKEN,22,2.7,2.4,40–50,Pollo,€,"Calle De Mota Del Cuervo, 76,  Madrid",Ciudad Lineal,4.046.491,-362.973
854,Tim Hortons,36,4.9,1.4,25–35,Comida reconfortante,€,"Calle De Arturo Soria, 189,  Madrid",Ciudad Lineal,4.045.843,-365.932
855,Pasteleria Saul,27,4.2,2.4,25–35,Postres,€€,"Plaza Sagrado Corazón De Jesús, 2,  Madrid",Ciudad Lineal,4.041.349,-369.582
857,Foster's Hollywood,65,4.2,2.4,40–50,Americana,€,"Calle De Silvano, 77,  Madrid",Ciudad Lineal,404.629,-36.357
858,Kebab Bosforos,80,4.5,2.9,40–50,Kebab,€,"Av. Del Marqués De Corbera, 40,  Madrid",Ciudad Lineal,4.042.727,-365.018
859,Bar el castaño,22,2.7,1.9,30–40,Mediterranea,€,"Calle De Hermosilla, 91,  Madrid",Ciudad Lineal,4.042.607,-367.616
860,Esmirna Doner Kebap,48,4.7,2.4,35–45,Kebab,€,"Calle Zabaleta 1,   Madrid",Ciudad Lineal,4.044.065,-367.537
862,Frambons,22,2.7,2.4,35–45,Empanada,€,"Av. Del Mediterráneo, 30,  Madrid",Ciudad Lineal,4.040.675,-367.267
863,Doner kebap efes,23,4.7,2.4,25–35,Kebab,€,"Calle De López De Hoyos, 139,  Madrid",Ciudad Lineal,4.044.849,-366.731
864,Doner kebap efes,30,4.6,1.9,30–40,Kebab,€,"Calle De Alcalá 205,  Madrid",Ciudad Lineal,4.044.291,-361.886
866,Sumo Grill,26,4.5,2.9,60–70,Opciones para alergias,€,"Calle De Ezequiel Solana, 52,  Madrid",Ciudad Lineal,4.043.037,-364.518
867,Da Yuan,200,4.4,2.9,60–70,Pasta,€,"Calle Del Conde De Peñalver, 66,  Madrid",Ciudad Lineal,4.043.141,-367.496